msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,0.006094609460946095,0.006288156288156288,0.0060465116279069765,0.006324884792626728,0.006198179979777553,0.005567970204841713,0.00645895153313551,0.005703056768558952,0.0060418410041841,0.005183520599250937,0.0052,0.005214765100671141
"Aguadilla-Isabela, PR",10380,0.002997946611909651,0.0026912691269126913,0.0026421404682274246,0.0033162217659137576,0.0029272898961284232,0.0029919678714859436,0.003237704918032787,0.00338860103626943,0.003536842105263158,0.0032870864461045893,0.0031009615384615385,0.0029483814523184604
"Akron, OH",10420,0.003993103448275862,0.004206008583690987,0.004635811836115326,0.004458272327964861,0.004654788418708241,0.004203691045796309,0.004514563106796116,0.004536784741144414,0.004340836012861737,0.004478371501272264,0.004192977279433461,0.003946064942212438
"Albany, GA",10500,0.004847560975609756,0.004566473988439307,0.004370922646784715,0.0044295302013422815,0.004597701149425287,0.004609800362976407,0.004397810218978102,0.004210526315789474,0.004673815907059875,0.004028662420382165,0.004144345238095238,0.004245810055865922
"Albany-Lebanon, OR",10540,0.0034717607973421927,0.003590347263095939,0.00385122975404919,0.004050632911392405,0.004289127837514934,0.0038457175269427115,0.004100681699003671,0.0035585377140212866,0.0033346441211167914,0.0034447900466562987,0.003164988909742365,0.0029461842505320766
"Albany-Schenectady-Troy, NY",10580,0.0035678391959798996,0.0036796756208819057,0.0037512690355329947,0.003905930470347648,0.0039817166074149314,0.003985074626865671,0.003869895536562203,0.0039048059149722736,0.004010128913443831,0.004013215859030837,0.003959574468085107,0.003909465020576132
"Albuquerque, NM",10740,0.003507910529187125,0.0037839366515837105,0.0038610478359908883,0.0039909553420011306,0.004075993091537133,0.0038943894389438945,0.004003267973856209,0.003938445487741263,0.003848063555114201,0.004,0.0036880530973451326,0.003426829268292683
"Alexandria, LA",10780,0.004047410008779631,0.004036199095022624,0.004123624047417443,0.004334728033472803,0.004465617232808616,0.0039985163204747775,0.0042703533026113676,0.004302075876879027,0.004291695743196092,0.004742939898624185,0.004163398692810458,0.0036867182846932697
"Allentown-Bethlehem-Easton, PA-NJ",10900,0.003305898491083676,0.0035559827006247,0.00395112016293279,0.0039787126203750635,0.004124553343542624,0.004088452088452089,0.004146576663452266,0.003978444236176195,0.004074920054819553,0.004210760337927968,0.0040750782064650675,0.003955223880597015
"Altoona, PA",11020,0.004402277039848197,0.004588457899716178,0.004691358024691358,0.004071180555555555,0.004542222222222222,0.004642857142857143,0.004690496948561464,0.0043518518518518515,0.004529182879377432,0.00438622754491018,0.004287822878228782,0.004192139737991266
"Amarillo, TX",11100,0.004795474325500435,0.004877222692633362,0.005050847457627118,0.005061025223759154,0.005205254515599343,0.005086071987480438,0.004819454679439941,0.004867762687634025,0.00470310391363023,0.004478566858605247,0.004401484689143211,0.004329341317365269
"Ames, IA",11180,0.0038176100628930817,0.0036261682242990654,0.003835946924004825,0.0041429475015812775,0.004107784431137724,0.004244644870349493,0.0044591484464902185,0.0038991512730903646,0.004129639309984318,0.004434876210979548,0.00394045534150613,0.0035109864422627397
"Anchorage, AK",11260,0.003510313216195569,0.0036700718880060537,0.0039332583427071615,0.003871319520174482,0.004162082874954162,0.003957597173144876,0.0038605271938605273,0.003840992955384099,0.0036994991652754593,0.0037420859713428855,0.0036517032792104426,0.00356903383114904
"Ann Arbor, MI",11460,0.0038562434417628542,0.003853211009174312,0.0042041884816753925,0.003946987951807229,0.004110169491525424,0.0037233134073441504,0.0037474458520637514,0.0036683417085427135,0.003536541889483066,0.0034608872333220454,0.0033741843068597803,0.0032972972972972973
"Anniston-Oxford, AL",11500,0.0040097560975609755,0.004197780020181635,0.004272211720226843,0.004607104413347686,0.004018779342723005,0.004452423698384201,0.004048442906574395,0.00405267629566695,0.00438423645320197,0.004350328947368421,0.0039540229885057475,0.0036083213773314203
"Appleton, WI",11540,0.003453416149068323,0.003662604233483002,0.0037979539641943734,0.0038427672955974844,0.0037917981072555203,0.003991228070175439,0.003776009791921665,0.0037908496732026145,0.0036473829201101927,0.0038172920065252854,0.0034958757884522075,0.003236968900569426
"Arecibo, PR",11640,,,,0.003156862745098039,0.003096118299445471,0.0033879222108495395,0.003115631691648822,0.0030693069306930694,0.003586497890295359,0.0038995726495726496,0.003722478238607271,0.003559488692232055
"Asheville, NC",11700,0.003275299238302503,0.0033652762119503947,0.0037323546019198193,0.0035827416712179137,0.0036790393013100436,0.0032941777323799797,0.003505859375,0.0035581711181530105,0.003178525777588411,0.0033843058350100604,0.0031678486997635934,0.002989382879893829
"Athens-Clarke County, GA",12020,0.0035143570536828963,0.0034902200488997554,0.003811912225705329,0.00401294498381877,0.004262402088772846,0.003959646910466583,0.0037260591990713873,0.003854625550660793,0.0035012468827930175,0.003504650024473813,0.0034403274450667816,0.0033897652943439783
"Atlanta-Sandy Springs-Alpharetta, GA",12060,0.004167140420693576,0.004443106562311861,0.00472636815920398,0.004800995024875622,0.004662360540223135,0.0044390767579173375,0.004451188669701568,0.004300325430032543,0.004193410355156183,0.004203074433656958,0.004080774853801169,0.00398
"Atlantic City-Hammonton, NJ",12100,0.00350251677852349,0.0037253218884120173,0.0039462081128747795,0.0040027447392497716,0.004087557603686636,0.0040510295434198745,0.0043189214318921434,0.004262759924385634,0.004176926584587323,0.004485807352256864,0.004263483265828182,0.0040755310778914245
"Auburn-Opelika, AL",12220,0.0035154707044107968,0.0035514612452350698,0.00406048906048906,0.0044677769732078204,0.0037884615384615383,0.0036745562130177513,0.0038922888616891066,0.004144368388301183,0.003530377668308703,0.0035792349726775957,0.0036584734799482536,0.0037297297297297295
"Augusta-Richmond County, GA-SC",12260,0.004160063391442155,0.004421553090332805,0.0045113369820172005,0.004800974817221771,0.004322482967448902,0.004470762398223538,0.004692697035430224,0.004465277777777778,0.004318181818181818,0.004449938195302843,0.004264107038976149,0.0040989010989010985
"Austin-Round Rock-Georgetown, TX",12420,0.004040511727078891,0.004115138592750533,0.004342379958246346,0.004175609756097561,0.004107388710417623,0.003973454997926172,0.003930877326243828,0.0038469675599435826,0.0037865353037766832,0.0037060301507537688,0.0034605171208944795,0.0032636615462100227
"Bakersfield, CA",12540,0.004317904993909866,0.004573444515715202,0.00481358189081225,0.0046211180124223605,0.00403604587657018,0.003886352105530188,0.0037904015670910873,0.0038940204180845893,0.003573321554770318,0.003405428329092451,0.0032631782197335393,0.003144275079758951
"Baltimore-Columbia-Towson, MD",12580,0.0030031174229303774,0.0031966918374685366,0.0033751383253412025,0.0035814814814814815,0.0035119685602000715,0.003492938339648639,0.003589656345695815,0.0036528758829465187,0.0036110210696920584,0.0036590038314176245,0.003543046357615894,0.003439635535307517
"Bangor, ME",12620,0.004317211948790896,0.004485025566106647,0.004907475943745374,0.005007518796992481,0.0045461254612546124,0.004758909853249476,0.0049889948642699924,0.005517241379310344,0.004648829431438127,0.004763447828904731,0.004584070796460177,0.004434217650243638
"Barnstable Town, MA",12700,0.002646661259799946,0.0027131571778806866,0.0025145228215767636,0.0026321616385275395,0.002654990269669169,0.0027071675992539302,0.003040187891440501,0.0028646222887060585,0.0027254901960784314,0.00276055650475958,0.00271389346512905,0.0026757188498402556
"Baton Rouge, LA",12940,0.0038218572331017056,0.004001272264631043,0.0040960099750623445,0.004049273531269741,0.004361904761904762,0.003968253968253968,0.0041104651162790695,0.004104395604395604,0.003956499223200414,0.003948849104859335,0.003920273905600392,0.003894095595126523
"Battle Creek, MI",12980,0.005004849660523764,0.00527,0.005604166666666667,0.005729275970619098,0.0058977035490605425,0.005601577909270217,0.0051624231782265145,0.004879518072289157,0.005506035283194058,0.005453759723422645,0.004924739482825164,0.004497907949790795
"Bay City, MI",13020,0.004739039665970772,0.005470653377630121,0.005859030837004405,0.0058823529411764705,0.004961759082217973,0.005472901168969182,0.005089463220675944,0.005184824902723735,0.005429650613786591,0.005353535353535353,0.005158411423471665,0.004973958333333334
"Beaumont-Port Arthur, TX",13140,0.0060173160173160175,0.00615702479338843,0.005737874097007224,0.0059387755102040815,0.006411075612353568,0.006075471698113208,0.006150278293135436,0.006097337006427916,0.005455284552845528,0.005865695792880259,0.0055636363636363635,0.0053170409511228535
