msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Binghamton, NY",13780,106100.0,111700.0,108600.0,107600.0,113600.0,113600.0,121000.0,113500.0,120300.0,119400.0,127650.0,135900.0
"Birmingham-Hoover, AL",13820,146600.0,143000.0,142600.0,144100.0,145500.0,156900.0,154000.0,161400.0,169400.0,177600.0,193200.0,208800.0
"Bismarck, ND",13900,158900.0,157800.0,169300.0,191300.0,203300.0,226300.0,237500.0,250200.0,258700.0,261300.0,262950.0,264600.0
"Blacksburg-Christiansburg, VA",13980,156800.0,161600.0,159000.0,151300.0,164800.0,172300.0,171300.0,190200.0,183300.0,191800.0,193150.0,194500.0
"Bloomington, IL",14010,,,,154800.0,157800.0,163000.0,158800.0,163100.0,168100.0,166800.0,175050.0,183300.0
"Bloomington, IN",14020,132700.0,135000.0,132200.0,149600.0,155400.0,154200.0,158800.0,166200.0,172600.0,185200.0,201350.0,217500.0
"Bloomsburg-Berwick, PA",14100,139400.0,150600.0,139100.0,139100.0,147100.0,159400.0,155100.0,156300.0,166200.0,171200.0,184500.0,197800.0
"Boise City, ID",14260,173200.0,157700.0,153400.0,162800.0,173200.0,193100.0,207600.0,228800.0,264400.0,293700.0,360250.0,426800.0
"Boston-Cambridge-Newton, MA-NH",14460,365200.0,356100.0,358400.0,363200.0,375200.0,393000.0,412700.0,441400.0,464600.0,482700.0,522100.0,561500.0
"Boulder, CO",14500,352800.0,344600.0,364100.0,349100.0,383100.0,416500.0,467600.0,504800.0,554100.0,592000.0,623250.0,654500.0
"Bowling Green, KY",14540,136300.0,135400.0,136400.0,125200.0,124900.0,127100.0,142300.0,150700.0,166600.0,170000.0,181700.0,193400.0
"Bremerton-Silverdale-Port Orchard, WA",14740,268000.0,269500.0,255600.0,255000.0,255200.0,269200.0,288800.0,326200.0,363400.0,378800.0,426350.0,473900.0
"Bridgeport-Stamford-Norwalk, CT",14860,441400.0,440700.0,403400.0,420600.0,408900.0,420900.0,423200.0,425900.0,435000.0,444500.0,457050.0,469600.0
"Brownsville-Harlingen, TX",15180,75400.0,79300.0,75700.0,82300.0,76200.0,82800.0,80000.0,92000.0,86500.0,89000.0,96250.0,103500.0
"Brunswick, GA",15260,120600.0,143100.0,131000.0,122800.0,128900.0,134200.0,159700.0,148500.0,155600.0,166900.0,173750.0,180600.0
"Buffalo-Cheektowaga, NY",15380,120700.0,120300.0,123100.0,123400.0,125400.0,135200.0,142200.0,148900.0,155500.0,160800.0,176400.0,192000.0
