msa_name,msa_code,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,0.96869814344675,0.9646575536511084,0.9550254533215533,0.9702213448695871,0.983288260176132,1.0131571642702493,0.9645382341321199,0.9738609305187682
"Aguadilla-Isabela, PR",10380,0.3472388688368525,0.3428298800436205,0.3529144681173079,0.3388523099809912,0.3439106781891441,0.35516457096802834,0.34824223868040327,0.37251857370645536
"Akron, OH",10420,1.0761681899879008,1.080639708086936,1.0882145692576992,1.079978038648171,1.0791503711263097,1.0802708266791476,1.003154574132492,1.0094938999254208
"Albany, GA",10500,0.9296429326008874,0.9228652197974782,0.946995197702078,0.9256242409881223,0.9381931538876566,0.949050949050949,0.9010429572229856,0.9178549610358648
"Albany-Lebanon, OR",10540,0.8437449294174915,0.874445845365437,0.896870065190104,0.9098674930965294,0.9215774891434635,0.912611157595688,0.8480267070854358,0.877939868687442
"Albany-Schenectady-Troy, NY",10580,1.1403714136829466,1.152413092295919,1.1628341559797382,1.1532423768205384,1.1515674179748785,1.1435403913503235,1.051656148102031,1.0702755506844093
"Albuquerque, NM",10740,0.9956499454600413,1.0048275753620681,1.0116890035620645,1.004224526924935,1.0112813484433172,1.0204159511543598,0.9355026147588611,0.9977796454959419
"Alexandria, LA",10780,0.960331503410311,0.9593084545646215,0.9302046450219048,0.9183008472065881,0.911195317222771,0.9073319457066635,0.8941284092334251,0.9193660978181765
"Allentown-Bethlehem-Easton, PA-NJ",10900,1.0369543931826568,1.0525675523025277,1.0642975751719828,1.0634556159549797,1.0783424336305907,1.091229767018462,1.012204088461014,1.0581201759920398
"Altoona, PA",11020,1.0879840191199814,1.0945060438873713,1.0898306296005145,1.078352038841783,1.0692276629738224,1.0767207365190705,1.0316953839608594,1.0752880876001363
"Amarillo, TX",11100,1.1045662227929613,1.1125108842655205,1.105002900632614,1.0890466512954642,1.0967841597833692,1.105550295324406,1.057877599840521,1.0745384883315918
"Ames, IA",11180,1.3774466075457836,1.3875200995902277,1.3416815742397137,1.3448198141794596,1.3123681499288622,1.0188601502069559,0.9419592378353627,0.9866089745980827
"Anchorage, AK",11260,1.1617222789804087,1.1575451596183748,1.1341781825128956,1.1062461130619963,1.1016171615101829,1.0947548418274413,0.9965248002888478,1.0020532439499499
"Ann Arbor, MI",11460,1.4263010451459972,1.4312080648707715,1.4579942907451378,1.4800827144158462,1.4923206840133003,1.5130818535252706,1.3383532324196086,1.400354520131679
"Anniston-Oxford, AL",11500,0.8707564696830371,0.8589164150554169,0.8774396760222735,0.8719741196593909,0.8758907363420427,0.882751955992492,0.8671276396935153,0.8663622183383135
"Appleton, WI",11540,1.2827792147708872,1.2973198456564814,1.2908822405584872,1.2818152058269907,1.290964265053638,1.2885689837418834,1.2221841324728362,1.2212587302832927
"Arecibo, PR",11640,0.41018335441561155,0.40544106710169614,0.4168185684773362,0.38208647343561375,0.40365312027434125,0.42269295150471464,0.42124027789648477,0.4457486720404146
"Asheville, NC",11700,0.8240225395756768,0.8405011945166433,0.8581824113385199,0.8430995277243309,0.8470465962238004,0.8505753013076581,0.8019952075896132,0.8321504989089676
"Athens-Clarke County, GA",12020,1.0782317000119803,1.091025020368162,1.1107873419196923,1.140152486651589,1.1401790710688304,1.1129281366403199,1.0444854848878795,1.0946463239407267
"Atlanta-Sandy Springs-Alpharetta, GA",12060,1.1521193088367985,1.1700227049314254,1.1897392818238492,1.1989573376449991,1.205104071124778,1.2156408195162218,1.1376248209353863,1.1813214383915394
"Atlantic City-Hammonton, NJ",12100,1.0126701521360275,1.011894056099907,0.9991172771515393,0.9946561610172797,1.0388760824870724,1.0383789191243185,0.8967510960503896,0.9666147306639237
"Auburn-Opelika, AL",12220,0.9181027909104773,0.9249077351811403,0.9512750658746818,0.9315012840788729,0.9350309782299778,0.9504689167181446,0.8852529486042825,0.8640671680230761
"Augusta-Richmond County, GA-SC",12260,0.9079399529752216,0.9216497890463778,0.9172649828480507,0.9156132295509832,0.9236583813802811,0.9333287581923618,0.8954970102868802,0.8972841799361865
"Austin-Round Rock-Georgetown, TX",12420,1.2296378818428355,1.2516301915945218,1.2605099375143494,1.2666888702250283,1.2803137412922851,1.286340478032853,1.1823066899296948,1.214385613583782
"Bakersfield, CA",12540,0.8875729494388769,0.8760546205750216,0.8677685950413223,0.8752052049027605,0.8987327867706534,0.9163923981685357,0.8638874606125329,0.892830697842792
"Baltimore-Columbia-Towson, MD",12580,1.1754796492423663,1.1952898086636226,1.2005757942568656,1.2131612749823608,1.2185788172071643,1.2268973653165554,1.1278163710044176,1.161085697470674
"Bangor, ME",12620,0.8885897004375631,0.8919442501210784,0.8916140087822642,0.8805230412316778,0.8956713595293129,0.8956513768675771,0.8506709749744469,0.8913863648440405
"Barnstable Town, MA",12700,0.6381360491216355,0.6458338473685509,0.6523638959664217,0.6525195694716243,0.6517413238077272,0.6491140716272179,0.5995857407609289,0.6282393591958536
"Baton Rouge, LA",12940,1.1723319140972255,1.1789099354509889,1.161206691349598,1.1448582966246856,1.1596210563946734,1.099134284018233,1.0357028838991167,1.0580630199727512
"Battle Creek, MI",12980,0.9656422509681141,0.9751187961985216,0.9762624510629863,0.9532731785086206,0.9592798830466992,0.9439382746449971,0.8699405651293289,0.9050761506557184
"Bay City, MI",13020,0.768429820907955,0.7526478191977316,0.7497344690422142,0.7346702261956499,0.726031647533354,0.7298666390985217,0.6679999175308744,0.7092781809584507
