msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bloomsburg-Berwick, PA",14100,42729.0,40628.0,48553.0,48007.0,49670.0,46688.0,50038.0,54137.0,50984.0,56672.0,56859.0,57046.0
"Boise City, ID",14260,47237.0,45065.0,48968.0,49583.0,51826.0,51925.0,55162.0,55324.0,61407.0,66466.0,69904.5,73343.0
"Boston-Cambridge-Newton, MA-NH",14460,68020.0,69455.0,71738.0,72907.0,75667.0,78800.0,82380.0,85691.0,88711.0,94430.0,97590.0,100750.0
"Boulder, CO",14500,61859.0,68637.0,66989.0,71604.0,71540.0,72009.0,74615.0,80834.0,83755.0,88535.0,89351.5,90168.0
"Bowling Green, KY",14540,39092.0,38783.0,41140.0,46586.0,47277.0,43437.0,45649.0,46478.0,51365.0,51198.0,54127.5,57057.0
"Bremerton-Silverdale-Port Orchard, WA",14740,56303.0,60314.0,59073.0,62672.0,61794.0,66090.0,69171.0,73026.0,76945.0,79624.0,83469.0,87314.0
"Bridgeport-Stamford-Norwalk, CT",14860,74831.0,77289.0,79841.0,82084.0,85925.0,86414.0,90123.0,91198.0,91079.0,97053.0,98931.5,100810.0
"Brownsville-Harlingen, TX",15180,31736.0,32070.0,30953.0,34374.0,32093.0,34074.0,37061.0,36975.0,38378.0,41123.0,44619.0,48115.0
"Brunswick, GA",15260,39066.0,42753.0,43346.0,39967.0,46268.0,44347.0,46014.0,47047.0,50499.0,57381.0,55971.0,54561.0
"Buffalo-Cheektowaga, NY",15380,46420.0,47081.0,50269.0,50548.0,50074.0,51772.0,53487.0,55448.0,56195.0,60105.0,61449.5,62794.0
"Burlington, NC",15500,41058.0,40699.0,39782.0,42512.0,39576.0,39541.0,45100.0,45150.0,49979.0,58490.0,58445.0,58400.0
"Burlington-South Burlington, VT",15540,54738.0,60771.0,60889.0,62022.0,61947.0,66807.0,66367.0,63160.0,71452.0,74909.0,78380.5,81852.0
"California-Lexington Park, MD",15680,,,,78233.0,86417.0,85163.0,78195.0,81495.0,92250.0,87947.0,98172.0,108397.0
"Canton-Massillon, OH",15940,42365.0,41770.0,45157.0,45168.0,47729.0,49313.0,50811.0,51198.0,51624.0,55706.0,57258.0,58810.0
"Cape Coral-Fort Myers, FL",15980,43936.0,45266.0,46278.0,46383.0,49055.0,50651.0,52909.0,53928.0,56129.0,62240.0,64248.0,66256.0
"Cape Girardeau, MO-IL",16020,41288.0,39409.0,42686.0,41491.0,44347.0,47824.0,49059.0,47927.0,48026.0,52624.0,56675.0,60726.0
"Carbondale-Marion, IL",16060,,,,38903.0,41174.0,42284.0,41603.0,43892.0,42716.0,46882.0,48917.5,50953.0
"Carson City, NV",16180,52414.0,53707.0,49779.0,46616.0,43850.0,42251.0,52196.0,55700.0,56160.0,57270.0,61300.0,65330.0
"Casper, WY",16220,51735.0,52603.0,54526.0,58635.0,56392.0,52886.0,59474.0,60546.0,64833.0,65034.0,64319.5,63605.0
"Cedar Rapids, IA",16300,53755.0,54731.0,57222.0,56397.0,61865.0,58015.0,63385.0,63697.0,62882.0,64088.0,67005.5,69923.0
"Chambersburg-Waynesboro, PA",16540,49514.0,49068.0,51938.0,54303.0,49487.0,57960.0,60559.0,60459.0,61208.0,62484.0,64599.5,66715.0
"Champaign-Urbana, IL",16580,45845.0,42328.0,47632.0,47258.0,48063.0,51600.0,50564.0,50999.0,52912.0,53081.0,56135.0,59189.0
"Charleston, WV",16620,43922.0,40990.0,47610.0,45251.0,42761.0,42526.0,41689.0,41558.0,40806.0,47500.0,50524.5,53549.0
"Charleston-North Charleston, SC",16700,48062.0,50213.0,50108.0,51771.0,53572.0,56430.0,57659.0,60546.0,64283.0,70505.0,71612.0,72719.0
"Charlotte-Concord-Gastonia, NC-SC",16740,50449.0,50671.0,52470.0,51251.0,53549.0,54836.0,59979.0,61156.0,62068.0,66399.0,68720.0,71041.0
"Charlottesville, VA",16820,56808.0,56652.0,62880.0,58375.0,58189.0,63918.0,62523.0,66853.0,71052.0,75907.0,77363.0,78819.0
"Chattanooga, TN-GA",16860,42288.0,42166.0,43475.0,47702.0,46600.0,47809.0,46537.0,50250.0,54732.0,55366.0,58875.5,62385.0
"Cheyenne, WY",16940,48784.0,54053.0,54192.0,61661.0,57551.0,60599.0,62221.0,61961.0,64306.0,70567.0,65974.0,61381.0
"Chicago-Naperville-Elgin, IL-IN-WI",16980,57104.0,57267.0,59261.0,60564.0,61598.0,63153.0,66020.0,68403.0,70760.0,75379.0,76772.5,78166.0
"Chico, CA",17020,41657.0,39179.0,40960.0,42752.0,42365.0,45644.0,45177.0,49061.0,51652.0,62563.0,63650.5,64738.0
"Cincinnati, OH-KY-IN",17140,51572.0,52373.0,52439.0,53378.0,55729.0,56826.0,60260.0,61653.0,62743.0,66825.0,68821.5,70818.0
"Clarksville, TN-KY",17300,42262.0,42658.0,44392.0,48938.0,45130.0,46070.0,51373.0,54667.0,51280.0,53547.0,56401.0,59255.0
"Cleveland, TN",17420,37193.0,37092.0,38343.0,42107.0,41176.0,42380.0,44881.0,46822.0,48101.0,52178.0,54264.0,56350.0
"Cleveland-Elyria, OH",17460,46231.0,45936.0,46944.0,49358.0,49889.0,51049.0,52131.0,52489.0,56203.0,57228.0,59771.5,62315.0
"Coeur d'Alene, ID",17660,42316.0,47782.0,46870.0,54919.0,48776.0,47860.0,51765.0,57219.0,55236.0,62579.0,65086.0,67593.0
"College Station-Bryan, TX",17780,35961.0,35417.0,40346.0,39657.0,42116.0,46341.0,42233.0,45515.0,50512.0,55670.0,52798.5,49927.0
"Colorado Springs, CO",17820,51683.0,54877.0,55320.0,57484.0,59411.0,60458.0,63651.0,65593.0,67430.0,72633.0,75823.5,79014.0
"Columbia, MO",17860,40853.0,46703.0,43172.0,48953.0,50085.0,50520.0,52752.0,51340.0,54356.0,57359.0,59570.0,61781.0
"Columbia, SC",17900,45929.0,45292.0,48763.0,48672.0,50091.0,51369.0,52247.0,54480.0,53765.0,55725.0,56969.0,58213.0
"Columbus, GA-AL",17980,36553.0,39574.0,42972.0,40388.0,42669.0,41592.0,43412.0,43051.0,49731.0,49013.0,50907.5,52802.0
"Columbus, IN",18020,47192.0,54197.0,53671.0,52505.0,53002.0,54447.0,59102.0,61533.0,62047.0,72555.0,73059.5,73564.0
"Columbus, OH",18140,51039.0,52315.0,53699.0,54079.0,56371.0,58192.0,60294.0,63764.0,64052.0,67207.0,69523.0,71839.0
"Corpus Christi, TX",18580,41994.0,44342.0,49047.0,48688.0,52050.0,50253.0,53775.0,52193.0,54264.0,56991.0,58422.0,59853.0
"Corvallis, OR",18700,45913.0,42513.0,51133.0,47808.0,52486.0,52852.0,55459.0,60260.0,63773.0,70835.0,67499.0,64163.0
"Crestview-Fort Walton Beach-Destin, FL",18880,51529.0,49158.0,52787.0,53000.0,53679.0,53488.0,58624.0,59619.0,63710.0,62627.0,64828.0,67029.0
"Cumberland, MD-WV",19060,34847.0,34819.0,35645.0,35211.0,38580.0,39408.0,45808.0,42113.0,44607.0,49729.0,50584.5,51440.0
"Dallas-Fort Worth-Arlington, TX",19100,54449.0,55546.0,56954.0,57398.0,59530.0,61644.0,63812.0,67382.0,69445.0,72265.0,74120.0,75975.0
"Dalton, GA",19140,39476.0,35120.0,32858.0,37659.0,41034.0,45632.0,43348.0,41441.0,45326.0,51967.0,53128.0,54289.0
"Danville, IL",19180,38167.0,40869.0,40311.0,45089.0,41690.0,45098.0,45481.0,42345.0,43655.0,43111.0,46101.0,49091.0
"Daphne-Fairhope-Foley, AL",19300,47502.0,50900.0,48378.0,44874.0,48461.0,52003.0,56732.0,55342.0,56813.0,56439.0,60152.5,63866.0
"Davenport-Moline-Rock Island, IA-IL",19340,46310.0,47122.0,51678.0,51288.0,51410.0,55496.0,52590.0,54173.0,55635.0,62001.0,61583.5,61166.0
"Dayton-Kettering, OH",19430,,,,,,,,,,58169.0,60077.5,61986.0
"Decatur, AL",19460,42172.0,41971.0,42088.0,42598.0,44600.0,46157.0,44575.0,47042.0,49133.0,53447.0,55244.0,57041.0
"Decatur, IL",19500,40919.0,44415.0,44533.0,45957.0,47574.0,48040.0,46198.0,51970.0,50066.0,50839.0,48823.0,46807.0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,41556.0,38213.0,40106.0,41554.0,42468.0,43284.0,46090.0,47351.0,51364.0,54533.0,56852.0,59171.0
"Denver-Aurora-Lakewood, CO",19740,58732.0,59230.0,61453.0,62760.0,66870.0,70283.0,71926.0,76643.0,79478.0,85641.0,88178.5,90716.0
"Des Moines-West Des Moines, IA",19780,54685.0,58228.0,59157.0,61194.0,62446.0,62024.0,65704.0,68649.0,71352.0,71164.0,72686.0,74208.0
"Detroit-Warren-Dearborn, MI",19820,48198.0,48968.0,50310.0,51857.0,52462.0,53628.0,56142.0,58411.0,60513.0,63474.0,65313.5,67153.0
