msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bloomington, IN",14020,83876.0,84862.0,84680.0,69801.0,69527.0,70027.0,71220.0,71304.0,72324.0,72239.0,73028.0,73817.0
"Bloomsburg-Berwick, PA",14100,37521.0,37771.0,37559.0,37442.0,37627.0,37647.0,37758.0,38398.0,38559.0,38700.0,38264.0,37828.0
"Boise City, ID",14260,246324.0,247228.0,247910.0,251703.0,256178.0,260644.0,265422.0,275074.0,283285.0,289371.0,298984.0,308597.0
"Boston-Cambridge-Newton, MA-NH",14460,1883591.0,1891039.0,1885961.0,1889157.0,1901363.0,1917372.0,1928620.0,1955479.0,1973416.0,1985813.0,2017242.5,2048672.0
"Boulder, CO",14500,127115.0,127518.0,128106.0,129230.0,130924.0,132448.0,133775.0,135931.0,137465.0,140554.0,141849.5,143145.0
"Bowling Green, KY",14540,53998.0,54026.0,54563.0,69942.0,71018.0,71676.0,73934.0,75174.0,77072.0,77504.0,78685.0,79866.0
"Bremerton-Silverdale-Port Orchard, WA",14740,107465.0,108371.0,108094.0,108336.0,109329.0,109684.0,110398.0,112658.0,113732.0,114895.0,114836.0,114777.0
"Bridgeport-Stamford-Norwalk, CT",14860,361355.0,362760.0,361427.0,362475.0,364966.0,366129.0,368010.0,373039.0,374480.0,375368.0,378032.5,380697.0
"Brownsville-Harlingen, TX",15180,142168.0,142328.0,144029.0,144522.0,146207.0,147515.0,148665.0,151046.0,152374.0,154022.0,155696.0,157370.0
"Brunswick, GA",15260,57505.0,56784.0,58206.0,58237.0,58235.0,57780.0,59102.0,59510.0,61215.0,62209.0,60636.0,59063.0
"Buffalo-Cheektowaga, NY",15380,519128.0,518757.0,518979.0,518207.0,520369.0,520994.0,521550.0,529009.0,530321.0,531436.0,535900.5,540365.0
"Burlington, NC",15500,66672.0,67074.0,67544.0,67466.0,68101.0,68485.0,69164.0,70663.0,71655.0,72814.0,74044.5,75275.0
"Burlington-South Burlington, VT",15540,92323.0,92983.0,93125.0,93540.0,94393.0,95152.0,95990.0,97632.0,98586.0,99719.0,101032.0,102345.0
"California-Lexington Park, MD",15680,,,,42823.0,43267.0,43632.0,44191.0,44933.0,45998.0,46808.0,46506.0,46204.0
"Canton-Massillon, OH",15940,178849.0,178948.0,178693.0,178440.0,179159.0,179323.0,179433.0,180382.0,180625.0,180808.0,180768.5,180729.0
"Cape Coral-Fort Myers, FL",15980,371145.0,372119.0,372213.0,371983.0,375688.0,379060.0,385106.0,393259.0,399741.0,408569.0,418739.5,428910.0
