zipcode,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,Median Rent,Median Price,rent_price_ratio
78703,0.4774057398841863,12.128258784567672,8.962346320487204e-07,0.005652885087269718,396.41375144228317,7374.962839577345,-7.209067785236862e-06,0.006765540450596797,1.0,0.8713077152945483,0.8484279878726119,1.0,0.6094010388305183,0.707330771498501,0.693364416877673,0.0,1.0,2590.265922959573,1361102.3934674645,0.0019030647035751392
78756,0.3622645009988115,9.116987891111966,-5.583970723895369e-07,0.005304006243598694,189.21171687728923,3509.890619037902,-9.52823563609833e-06,0.005581777310117604,0.5235440609653321,0.6749864697269087,0.7659057810910871,0.5235440609653321,0.257783832082532,0.29869307315364624,0.5411352658340627,0.0,0.5235440609653321,2057.958333333333,758924.7998016515,0.0027116762212424602
78634,0.3620435106776367,7.941684049262117,-1.8954763979398897e-06,0.004780721549911777,108.03268799574452,1925.9852205781444,-7.847718581147705e-06,0.006665927203996065,0.5226296001517069,0.49453042864525604,0.6421304118435389,0.5226296001517069,0.12002484027644836,0.5948004123051486,0.6805543880431981,0.0,0.5226296001517069,1947.5656108597288,361288.5549553123,0.005390609760944747
78681,0.3483524551360122,7.448952595605855,-2.8009590169020536e-06,0.0042121720457632674,153.14810137897754,2996.737829616999,-8.207850153792535e-06,0.007438965515463937,0.4659758348491255,0.3723239106296536,0.5076483112575887,0.4659758348491255,0.1965846852045984,0.5313451790445497,0.7799652937006449,0.0,0.4659758348491255,2032.4958333333327,513752.67214539874,0.003956175692178414
78701,0.34805432128312463,5.290656073767834,-1.4048574841750085e-06,0.002065989063866243,144.6766723225465,2256.603487489126,-5.548063261116085e-06,0.0035015318662308574,0.46474215310129424,0.5607457572095126,0.0,0.46474215310129424,0.18220886004323072,1.0,0.27362060259068227,0.0,0.46474215310129424,2834.865325888582,732330.4593912498,0.0038710192776155532
78746,0.344954096707177,7.591539309855844,-3.3626896467665554e-06,0.00468190950391673,626.5870703245314,12146.260997387117,-7.322670666989807e-06,0.009149997687407947,0.4519133836191283,0.2965111419459949,0.6187578622033614,0.4519133836191283,1.0,0.6873139279105641,1.0,0.0,0.4519133836191283,1906.944885361552,1776113.3265274314,0.0010736617179095862
78641,0.33735809438457914,7.141216896556931,-2.465138841376631e-06,0.004329047301797018,142.13099075344306,2603.647853179098,-8.3729662502499e-06,0.007275435443047669,0.42048102754446565,0.4176471597687573,0.5352934500243159,0.42048102754446565,0.1778888955000389,0.5022516998507252,0.7589357116476412,0.0,0.42048102754446565,1896.274767661106,462734.08326556976,0.0040979794578321705
78664,0.3344513883039032,7.614214269086226,-1.8623068737193887e-06,0.005107285819466238,108.90719167938191,2034.0728444944793,-8.865478391026133e-06,0.006953381370104697,0.40845304010423195,0.49900708228203994,0.7193744312746578,0.40845304010423195,0.12150885341935479,0.415470992046873,0.7175203165928504,0.0,0.40845304010423195,1760.8296296296296,368535.4872218361,0.004777910650894025
78753,0.33117321646629955,8.262524720136883,-1.7692286523599182e-06,0.0062936855503970875,103.07012364994362,2017.2635084406056,-1.0504681323790829e-05,0.006575709138298359,0.3948879225466785,0.5115691846319048,1.0,0.3948879225466785,0.11160347985283571,0.12664320697892925,0.6689525573387894,0.0,0.3948879225466785,1602.1739130434785,380751.448234271,0.004207925985504547
78660,0.3305548692209055,7.093523700313823,-1.3455947763481627e-06,0.004279912512909905,122.84361296807447,2284.491301962557,-8.58722129049937e-06,0.007100948470161539,0.3923291936298651,0.5687440213617232,0.5236713316807563,0.3923291936298651,0.14515864786216062,0.4644999319164612,0.7364970980075236,0.0,0.3923291936298651,1909.191362203418,407040.2902551932,0.004690423547522664
78702,0.3275875004768996,7.165747910239007,-3.231087124976928e-06,0.003644000702792045,164.58622615870755,3092.331070532357,-9.674085138712743e-06,0.005986073688112824,0.3800501833024278,0.3142725938095506,0.37325565918774933,0.3800501833024278,0.21599492648879795,0.27299437047847896,0.593126827564313,0.0,0.3800501833024278,2230.5664513317765,631457.6475102874,0.003532408642331689
78704,0.3252030416361477,5.877474360343051,-2.9827858465168677e-06,0.0032648983023937286,245.18588565754544,4312.720132025152,-1.0134935670635332e-05,0.006462053808876782,0.370183261710669,0.3477840428688444,0.28358451046500843,0.370183261710669,0.35277074144311776,0.1917924425645956,0.6543367497352308,0.0,0.370183261710669,2024.1403412274,828888.1510361141,0.002441994542565502
78628,0.3138669742133865,6.220594947813457,-2.0636745746788344e-06,0.003950592019865827,145.31118414609776,2668.7612173781945,-6.954338018055698e-06,0.006552139415905214,0.3232744677706547,0.47182992276542063,0.4457753677454855,0.3232744677706547,0.18328561238069718,0.7522141919556129,0.6659215465668292,0.0,0.3232744677706547,1808.4880116959064,506186.0093926655,0.003572773601281029
78757,0.31334505289453785,7.825318737993383,2.2419353074137723e-07,0.005159019912897569,159.21912422112192,2995.450885800032,-9.763836425534104e-06,0.005650619518744571,0.3211147505878146,0.780607130618198,0.7316113772323802,0.3211147505878146,0.2068870748425169,0.25718018123963343,0.5499882116784552,0.0,0.3211147505878146,1796.3703703703704,641430.6326637276,0.0028005684151853165
