zipcode,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,Median Rent,Median Price,rent_price_ratio
78703,0.4774057398841863,12.128258784567672,8.962346320487204e-07,0.005652885087269718,1.0,0.8713077152945483,0.8484279878726119,1.8484279878726118,1.8484279878726118,2590.265922959573,1361102.3934674645,0.0019030647035751392
78753,0.33117321646629955,8.262524720136883,-1.7692286523599182e-06,0.0062936855503970875,0.3948879225466785,0.5115691846319048,1.0,1.3948879225466784,1.3948879225466784,1602.1739130434785,380751.448234271,0.004207925985504547
78756,0.3622645009988115,9.116987891111966,-5.583970723895369e-07,0.005304006243598694,0.5235440609653321,0.6749864697269087,0.7659057810910871,1.289449842056419,1.289449842056419,2057.958333333333,758924.7998016515,0.0027116762212424602
78634,0.3620435106776367,7.941684049262117,-1.8954763979398897e-06,0.004780721549911777,0.5226296001517069,0.49453042864525604,0.6421304118435389,1.164760011995246,1.164760011995246,1947.5656108597288,361288.5549553123,0.005390609760944747
78664,0.3344513883039032,7.614214269086226,-1.8623068737193887e-06,0.005107285819466238,0.40845304010423195,0.49900708228203994,0.7193744312746578,1.1278274713788898,1.1278274713788898,1760.8296296296296,368535.4872218361,0.004777910650894025
78746,0.344954096707177,7.591539309855844,-3.3626896467665554e-06,0.00468190950391673,0.4519133836191283,0.2965111419459949,0.6187578622033614,1.0706712458224896,1.0706712458224896,1906.944885361552,1776113.3265274314,0.0010736617179095862
78757,0.31334505289453785,7.825318737993383,2.2419353074137723e-07,0.005159019912897569,0.3211147505878146,0.780607130618198,0.7316113772323802,1.0527261278201947,1.0527261278201947,1796.3703703703704,641430.6326637276,0.0028005684151853165
78745,0.30718844382204225,6.851911974855389,-3.866961085181523e-06,0.00498956353888245,0.2956386224403187,0.22845322969799897,0.6915289411930392,0.9871675636333579,0.9871675636333579,1616.1735752675777,477104.70313920826,0.0033874610009786785
78681,0.3483524551360122,7.448952595605855,-2.8009590169020536e-06,0.0042121720457632674,0.4659758348491255,0.3723239106296536,0.5076483112575887,0.9736241461067142,0.9736241461067142,2032.4958333333327,513752.67214539874,0.003956175692178414
78727,0.3074889924450481,6.7987149873117,-2.1492773199126364e-06,0.004855649964581432,0.2968822965382012,0.4602767320044649,0.6598536365140829,0.9567359330522841,0.9567359330522841,1644.6795939368656,496757.99262542726,0.003310826636617422
78641,0.33735809438457914,7.141216896556931,-2.465138841376631e-06,0.004329047301797018,0.42048102754446565,0.4176471597687573,0.5352934500243159,0.9557744775687815,0.9557744775687815,1896.274767661106,462734.08326556976,0.0040979794578321705
78723,0.30912931971953034,7.068334151730528,-3.5400559768724577e-06,0.004736745227893149,0.3036699920628745,0.27257327592677544,0.631728453671108,0.9353984457339825,0.9353984457339825,1745.4581699346406,531328.4571492677,0.0032850831655046927
78660,0.3305548692209055,7.093523700313823,-1.3455947763481627e-06,0.004279912512909905,0.3923291936298651,0.5687440213617232,0.5236713316807563,0.9160005253106214,0.9160005253106214,1909.191362203418,407040.2902551932,0.004690423547522664
78722,0.3039424168779561,6.77545789117363,-2.9315413426730647e-06,0.004659882856033498,0.28220652086882125,0.35470014733186117,0.613547779607932,0.8957543004767533,0.8957543004767533,1700.0666666666666,618814.5185720124,0.002747296024323688
78666,0.27586931591683117,6.810894230008094,-2.133468928619651e-06,0.005049785522193281,0.16603966519199928,0.462410277602014,0.7057735738204509,0.8718132390124502,0.8718132390124502,1589.615319037314,336385.9702734937,0.004725569612029005
78610,0.2766132170640655,7.018066320266576,-3.503592574367184e-06,0.004988071190275369,0.1691179377821296,0.27749448077582967,0.6911759478757954,0.860293885657925,0.860293885657925,1651.9925,402332.7174810827,0.004106035696879847
78731,0.3036794908275317,6.706980641630293,-3.5399464052304356e-06,0.004499256346459623,0.2811185294639664,0.2725880640282413,0.5755539193377778,0.8566724488017442,0.8566724488017442,1741.1854945054947,1071111.9689908738,0.0016255868153036484
78705,0.2912377497801455,7.44681451880293,1.8497731902820825e-06,0.004657861814429202,0.2296344437328762,1.0,0.6130697316660481,0.8427041753989243,0.8427041753989243,1869.9430277224967,361520.1242827784,0.005172445189413137
78626,0.30696084087148956,6.3842151205313815,-4.006892568175816e-06,0.0042277039789128884,0.29469679848061126,0.2095676774638853,0.5113221637205327,0.806018962201144,0.806018962201144,1741.7350169779286,374911.2795270162,0.004645725834590204
78744,0.3132716812427934,6.175606375317979,-1.4738068758059282e-06,0.004085228400981421,0.3208111377418106,0.5514401505705177,0.4776216418440486,0.7984327795858592,0.7984327795858592,1741.6066666666666,373034.0947340733,0.004668760017521225
78628,0.3138669742133865,6.220594947813457,-2.0636745746788344e-06,0.003950592019865827,0.3232744677706547,0.47182992276542063,0.4457753677454855,0.7690498355161401,0.7690498355161401,1808.4880116959064,506186.0093926655,0.003572773601281029
78702,0.3275875004768996,7.165747910239007,-3.231087124976928e-06,0.003644000702792045,0.3800501833024278,0.3142725938095506,0.37325565918774933,0.7533058424901771,0.7533058424901771,2230.5664513317765,631457.6475102874,0.003532408642331689
78749,0.29805819294990443,6.08484590016656,-4.565435752460953e-06,0.004063868084281643,0.25785752597984735,0.13418509553087332,0.47256917018061917,0.7304266961604665,0.7304266961604665,1716.5471056721055,593533.4053881066,0.0028920817094526797
