msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,70.85892008273842,1945.9526141950873,4.86524329127228e-07,0.007474214331595971,0.3132385544893173,0.2863039494879289,0.5743662321900708,1.4619710188694588,0.41194122163166663,0.4428183369574667,0.46961721514023175,0.675587825956065,0.24610418342099097,0.44332771960549183,0.836688426586972,1.082792610007963,3.2203514548334864,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.23175952002812392,6.456958436079356,1.3727155460843833e-07,0.004965325720390872,109.25717568980215,2787.2893455674002,-1.0002805066595098e-06,0.007262164346911116,0.21230617137073332,0.311087926242386,0.5577311069701006,1.3277683853109346,0.40197751731865894,0.3675846425620763,0.4770601068335268,0.6780488654928563,0.39564005122561274,0.2338204941776265,0.8083561958082042,1.203996247033817,3.2098134978376076,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,153.22073518012,4625.131610360518,8.34997682181807e-07,0.0064858891686772726,0.19587963584080104,0.37229610919450756,0.4051640624901998,1.0062077608212006,0.7587835259531966,0.5066173734454058,0.5148155508442239,0.8942073138208222,0.5668491052888764,0.4924314644795647,0.7046372187460893,1.2714863240349659,3.1719013986769884,2598.0,0.0076,1560300.0,2971.155757070846,1006021.5507693476,0.0029533718783645107
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,0.26770237936225993,8.449148204335993,1.8108384710865322e-06,0.005435451640719667,66.34527661087216,1993.6075834833623,9.212533073106193e-07,0.006459164899130457,0.12785647275851744,0.5820927481144281,0.6603239687804439,1.4485044103194051,0.4768859496620625,0.7264979060233797,0.5397568103155834,0.7781997851466147,0.22852652050752198,0.5045858348873804,0.7010665598124437,0.9295930803199657,3.1562972757859855,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.255148242345367,6.936809889403717,-1.4485331304756614e-07,0.006434663730161005,88.20306933741993,2154.1706020880574,-1.0170463533227495e-06,0.007940602413219748,0.08032688596242016,0.45832824911446407,0.4603444577289049,1.00101580142023,0.4507219009252218,0.3070801261564245,0.6730132451949359,0.8983741956575468,0.31364819991674475,0.23145800117799503,0.8990030491542395,1.2126512490709842,3.112041246148761,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,0.21443322692093167,5.933104537690277,8.324179189266397e-07,0.00425221132972556,74.79293503260715,2038.78100757493,6.262862843258772e-07,0.006400698193586872,0.22068819927750508,0.4880332191977867,0.6706291258191928,1.5619464509158907,0.3658678288012112,0.5166657744511768,0.38195809359192234,0.5648920079925279,0.261424575719665,0.46302172298055394,0.6932547592277988,0.9546793349474638,3.081517793855882,4375.0,0.0084,740500.0,1753.1061993046617,447139.8522762134,0.003920711138540406
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.23925182319265076,7.622755937347533,-4.855084360786379e-07,0.00440012574973691,141.4178662158429,3893.391703011149,-1.9077576370099346e-06,0.00729684053136081,0.27460331420388184,0.2213841538388019,0.4079830223952108,1.0905693589943035,0.417592209502127,0.23402320759639864,0.40168418426500446,0.610480289016068,0.5208847190100182,0.10594694201880812,0.8129893188042561,1.3338740378142742,3.0349236858246456,2801.0,0.0098,2146400.0,2193.73452344798,783020.2117733428,0.0028016320529960855
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,92.00038564251605,2431.768246461992,-1.280477611605897e-06,0.005550206281158915,0.2127347052847343,0.33224243217764254,0.5146105809515757,1.2419558671878859,0.5854596251462884,0.15905540818424224,0.5351414709810987,0.8278712835542428,0.32843624119710774,0.1943376268790578,0.579619602997083,0.9080558441941908,2.9778829949363192,2598.0,0.0076,1095100.0,2257.290357841637,590018.0704427218,0.003825798684687526
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.30048176648755653,8.2523003792373,9.736030450138568e-07,0.00579238208704733,65.67737473253102,1795.9226848159394,-1.265387976184721e-07,0.006258127070662519,0.10999584992086375,0.35130067910700463,0.5502576606072495,1.2105111711353627,0.5452013966860976,0.5469443452434322,0.587357594253369,0.8599582925964178,0.22592548341854268,0.35694035281389863,0.6742056752908957,0.9001311587094384,2.9706006224412187,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.2762104600979801,8.151160584948675,2.497247434776702e-06,0.0064198939127180785,59.187028395494565,1723.678391862745,2.538603928794865e-06,0.007482297816201158,0.10129427575103045,0.5207410129676924,0.3979370844109106,0.8971684445728516,0.49461762159831885,0.873705214438379,0.6710435200114029,0.9183523308105623,0.20064986720844707,0.7324884036007101,0.8377684698214534,1.0384183370299005,2.8539391124133147,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
