msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,66.34527661087216,1993.6075834833623,9.212533073106193e-07,0.006459164899130457,0.12785647275851744,0.45956872059061327,0.6924928768215202,0.6924928768215202,0.2493103816509604,0.5045858348873804,0.7244928622515809,0.7244928622515809,1.416985739073101,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,71.32254219288622,1957.0276504478122,4.2952748482020555e-07,0.007425353597262498,0.5575858507702728,0.3135628566182605,0.5798845118862005,0.5798845118862005,0.2681713551003288,0.4352962346240823,0.836208836269532,0.836208836269532,1.4160933481557325,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,93.23283788760536,2485.9920011751674,-1.6143655715570465e-06,0.006387333236762527,0.11183441943303937,0.3066110197123055,0.6964660307794115,0.6964660307794115,0.3511987721743211,0.1472891250115476,0.7161872961212006,0.7161872961212006,1.412653326900612,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,99.74562912257596,2732.2541471622444,3.96414848274925e-07,0.006571605763544046,0.4333895675825237,0.23608940655501862,0.6716551966305692,0.6716551966305692,0.3758785045574891,0.4306302983544224,0.7374938844242371,0.7374938844242371,1.4091490810548062,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,59.187028395494565,1723.678391862745,2.538603928794865e-06,0.007482297816201158,0.10129427575103045,0.4248882287938146,0.4890330367737845,0.4890330367737845,0.22218473860267587,0.7324884036007101,0.8427930355007203,0.8427930355007203,1.3318260722745048,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,141.4178662158429,3893.391703011149,-1.9077576370099346e-06,0.00729684053136081,0.27460331420388184,0.25566981838529856,0.4968228504313017,0.4968228504313017,0.5337923117354949,0.10594694201880812,0.8213494590495366,0.8213494590495366,1.3181723094808384,2801.0,0.0098,2146400.0,2193.73452344798,783020.2117733428,0.0028016320529960855
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,65.67737473253102,1795.9226848159394,-1.265387976184721e-07,0.006258127070662519,0.10999584992086375,0.32910814866326815,0.6071453431238215,0.6071453431238215,0.2467794177338053,0.35694035281389863,0.7012477788996744,0.7012477788996744,1.308393122023496,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Durham, NC",13.288517005094866,455.45454545454544,3.043262667393675e-07,0.0014438818752078924,71.67039184635192,1985.261633687505,8.785568373878711e-07,0.0068177164629953805,0.09110813447956867,0.42243352582586197,0.5112330216851658,0.5112330216851658,0.26948950519103254,0.49856943062653064,0.7659505374140733,0.7659505374140733,1.277183559099239,4375.0,0.0084,351500.0,1735.7898789638784,415734.9550236545,0.004175231978906165
"Chattanooga, TN",11.189897735901969,418.1818181818182,7.309571484710782e-08,0.0016768677297878717,49.34961950078389,1371.4708224787316,1.2571638824621573e-06,0.006438613505772394,0.08327892996616815,0.36281659547016937,0.5520640563262729,0.5520640563262729,0.1849066177316095,0.5519193455795474,0.7221165987630297,0.7221165987630297,1.2741806550893027,4873.0,0.0071,286100.0,1540.7086406428016,299111.29460146767,0.005150954405435018
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,54.14089110954129,1534.607009364518,-2.467318336514081e-07,0.006888032973322915,0.08587163219234072,0.3391430119850626,0.4934665633876561,0.4934665633876561,0.20306278101291836,0.3400038263183501,0.7740809134534237,0.7740809134534237,1.2675474768410797,3564.0,0.0154,585700.0,1598.2777921109964,319844.50128496205,0.0049970463324833835
