msa_name,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.3923801349103832,0.23679397599789528,0.8233908063198463,0.8233908063198463,0.8233908063198463,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Spokane, WA",88.20306933741993,2154.1706020880574,-1.0170463533227495e-06,0.007940602413219748,0.31592199969822304,0.3070968172374568,0.7805574806626366,0.7805574806626366,0.7805574806626366,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Ogden, UT",102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.36168763683032445,0.3044209232321687,0.7756597348069038,0.7756597348069038,0.7756597348069038,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Nashville, TN",81.68128003266864,2264.3768835286614,-1.0522865310096005e-06,0.007505253979765725,0.29535065077213574,0.3034985828682807,0.7481238546438079,0.7481238546438079,0.7481238546438079,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"Knoxville, TN",59.187028395494565,1723.678391862745,2.538603928794865e-06,0.007482297816201158,0.22439817475111457,0.6701501242773957,0.7464136116139364,0.7464136116139364,0.7464136116139364,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
"Charlotte, NC",70.85892008273842,1945.9526141950873,4.86524329127228e-07,0.007474214331595971,0.2612142301779385,0.46062043888751913,0.7458113888965294,0.7458113888965294,0.7458113888965294,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Atlanta, GA",71.32254219288622,1957.0276504478122,4.2952748482020555e-07,0.007425353597262498,0.26267660986425423,0.45480071783098686,0.7421712453641315,0.7421712453641315,0.7421712453641315,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Seattle, WA",141.4178662158429,3893.391703011149,-1.9077576370099346e-06,0.00729684053136081,0.4837747320487428,0.2161498310316506,0.7325969724422821,0.7325969724422821,0.7325969724422821,2801.0,0.0098,2146400.0,2193.73452344798,783020.2117733428,0.0028016320529960855
"Salt Lake City, UT",109.25717568980215,2787.2893455674002,-1.0002805066595098e-06,0.007262164346911116,0.38233189855623634,0.3088087111509349,0.7300135833411012,0.7300135833411012,0.7300135833411012,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Phoenix, AZ",91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.3254331048291372,0.3970258791747063,0.728813959536573,0.728813959536573,0.728813959536573,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Provo, UT",105.78694482081889,2672.393829195137,-1.1679435388303405e-06,0.0071111475856526826,0.3713859254920764,0.2916893058471851,0.7187627764451852,0.7187627764451852,0.7187627764451852,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Reno, NV",98.64317799291183,2670.750146962857,-2.2874612510639466e-06,0.007088225570553473,0.3488527044393168,0.17737980534306527,0.7170550774891391,0.7170550774891391,0.7170550774891391,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Grand Rapids, MI",54.14089110954129,1534.607009364518,-2.467318336514081e-07,0.006888032973322915,0.2084814000766155,0.38575056877035624,0.7021406518673465,0.7021406518673465,0.7021406518673465,3564.0,0.0154,585700.0,1598.2777921109964,319844.50128496205,0.0049970463324833835
"Las Vegas, NV",79.02012451294557,2090.080637149988,-6.369849318427234e-07,0.006857246234757061,0.2869567030095295,0.3459033772190662,0.6998470279829969,0.6998470279829969,0.6998470279829969,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Durham, NC",71.67039184635192,1985.261633687505,8.785568373878711e-07,0.0068177164629953805,0.2637738143676331,0.5006493189230503,0.6969020447571336,0.6969020447571336,0.6969020447571336,4375.0,0.0084,351500.0,1735.7898789638784,415734.9550236545,0.004175231978906165
"Riverside, CA",99.74562912257596,2732.2541471622444,3.96414848274925e-07,0.006571605763544046,0.35233011007181064,0.4514197182250818,0.6785667028290456,0.6785667028290456,0.6785667028290456,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Detroit, MI",39.64194680694601,1142.9378256583884,-8.8205268851039e-07,0.006504052980542879,0.16274811610019194,0.3208804833887803,0.6735339944694271,0.6735339944694271,0.6735339944694271,3564.0,0.0154,2034200.0,1403.2156452517402,247627.53654607548,0.005666638148664242
"San Diego, CA",153.22073518012,4625.131610360518,8.34997682181807e-07,0.0064858891686772726,0.5210039224514661,0.49620166684968353,0.6721807834874753,0.6721807834874753,0.6721807834874753,2598.0,0.0076,1560300.0,2971.155757070846,1006021.5507693476,0.0029533718783645107
"Charleston, SC",66.34527661087216,1993.6075834833623,9.212533073106193e-07,0.006459164899130457,0.24697707370922645,0.5050088856336306,0.6701898151101897,0.6701898151101897,0.6701898151101897,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Indianapolis, IN",48.894934762618,1288.342341878856,7.010599541275497e-07,0.006457526279140301,0.19193434628189057,0.48252581820054313,0.6700677372896128,0.6700677372896128,0.6700677372896128,4451.0,0.0085,1179500.0,1529.352250592349,280482.5278091416,0.005452575825446849
"Chattanooga, TN",49.34961950078389,1371.4708224787316,1.2571638824621573e-06,0.006438613505772394,0.19336853526946843,0.5393073783149251,0.6686587283871877,0.6686587283871877,0.6686587283871877,4873.0,0.0071,286100.0,1540.7086406428016,299111.29460146767,0.005150954405435018
"Raleigh, NC",74.79293503260715,2038.78100757493,6.262862843258772e-07,0.006400698193586872,0.2736230938244895,0.4748909762034157,0.6658340230217502,0.6658340230217502,0.6658340230217502,4375.0,0.0084,740500.0,1753.1061993046617,447139.8522762134,0.003920711138540406
"Stockton, CA",93.23283788760536,2485.9920011751674,-1.6143655715570465e-06,0.006387333236762527,0.33178714330044656,0.24610692781297738,0.6648383285892253,0.6648383285892253,0.6648383285892253,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Greenville, SC",47.29564066196938,1333.6908198129054,6.568835032166871e-07,0.006361912396023495,0.18688977408819712,0.47801513651816907,0.662944466160291,0.662944466160291,0.662944466160291,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
"Memphis, TN",42.12111016318716,1073.1014242977278,4.789085129866309e-07,0.006285560494367538,0.17056801522033854,0.4598428181947425,0.6572562200708578,0.6572562200708578,0.6572562200708578,4873.0,0.0071,653700.0,1436.9475415330808,237995.58104964963,0.006037706814536657
"Fresno, CA",65.67737473253102,1795.9226848159394,-1.265387976184721e-07,0.006258127070662519,0.2448703447203376,0.3980230015892947,0.6552124194355705,0.6552124194355705,0.6552124194355705,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Tucson, AZ",62.7191540665579,1602.0630956259968,9.224671922735911e-07,0.006252128725636677,0.23553937944739306,0.5051328305987441,0.6547655404201655,0.6547655404201655,0.6547655404201655,4086.0,0.0066,403800.0,1563.7728356548598,356957.8355340108,0.004380833476635826
"San Jose, CA",264.4464833282309,7755.073935584781,-1.0659057349510474e-06,0.006239156900182402,0.8718376534726423,0.30210798012676227,0.6537991344261724,0.6537991344261724,0.6537991344261724,2598.0,0.0076,1162200.0,3277.120039914307,1740114.7781592829,0.0018832780923686478
"Greensboro, NC",41.77425052437682,1140.3139590801022,1.1468882009164002e-06,0.006169037497854378,0.16947393346992906,0.5280475671145316,0.6485752119378627,0.6485752119378627,0.6485752119378627,4375.0,0.0084,365600.0,1454.0073377924534,256174.5759628245,0.005675845592122521
"Bakersfield, CA",55.093081279360156,1545.5208959660958,7.908932545140584e-07,0.006110487247804156,0.21148484519144986,0.4916983391741779,0.6442131957514914,0.6442131957514914,0.6442131957514914,2598.0,0.0076,293100.0,1754.401058597983,349602.8949897485,0.005018268108590542
"Albuquerque, NM",52.84656803965804,1474.0094679483957,1.8734814422320959e-06,0.006074932010030993,0.2043987825234457,0.6022371128241357,0.6415643168390397,0.6415643168390397,0.6415643168390397,4529.0,0.008,420900.0,1526.9191877924434,334797.15817159414,0.004560729237163504
"Worcester, MA",67.22636796079787,1989.1384387236258,1.1804680179655158e-06,0.0060667934038137255,0.24975625542579533,0.5314762686633848,0.6409579875402959,0.6409579875402959,0.6409579875402959,2746.0,0.0123,293600.0,1986.5728562526451,452231.1737325387,0.004392825996174151
"Winston, NC",42.25453988972331,1149.2647181763841,1.5768043807366668e-06,0.005951515586140298,0.17098888583320668,0.5719445981635941,0.6323697457105902,0.6323697457105902,0.6323697457105902,4375.0,0.0084,276900.0,1549.40203071782,264856.805241012,0.005849961186792649
"Portland, OR",85.87514217288397,2437.582219407853,-2.113308799862125e-06,0.005911928974095113,0.30857913722008407,0.19516181941118602,0.6294205278617069,0.6294205278617069,0.6294205278617069,3016.0,0.0097,1231700.0,1809.646129511547,564868.1451757918,0.003203661146351897
