msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,0.21443322692093167,5.933104537690277,8.324179189266397e-07,0.00425221132972556,74.33635403161412,2023.140700201396,5.656579267834634e-07,0.006390798355936348,0.22068819927750508,0.4880332191977867,0.6706291258191928,1.3412582516383855,0.3658678288012112,0.5166657744511768,0.38195809359192234,0.19097904679596117,0.2827823043106759,0.4483585374299478,0.6909928088648076,0.6909928088648076,2.2232301072991545,4375.0,0.0084,740500.0,1753.1061993046617,445409.0297149904,0.003935946696964012
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,70.29126179172964,1925.6196197353238,3.8849849407213445e-07,0.007414548595152298,0.3132385544893173,0.2863039494879289,0.5743662321900708,1.1487324643801415,0.41194122163166663,0.4428183369574667,0.46961721514023175,0.23480860757011587,0.26560448085955224,0.4236160040479907,0.8287713635443271,0.8287713635443271,2.2123124354945847,4375.0,0.0084,1363200.0,1771.2063150325885,383795.9124220579,0.004614969200309784
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.255148242345367,6.936809889403717,-1.4485331304756614e-07,0.006434663730161005,87.93106403029546,2151.5446298931233,-1.0418963245354366e-06,0.007904303222196266,0.08032688596242016,0.45832824911446407,0.4603444577289049,0.9206889154578098,0.4507219009252218,0.3070801261564245,0.6730132451949359,0.33650662259746794,0.3405133804834268,0.22384345450249257,0.8946836164326915,0.8946836164326915,2.151879154487969,2801.0,0.0098,274400.0,1511.3342190016103,412105.5847682779,0.0036673470946806406
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.23175952002812392,6.456958436079356,1.3727155460843833e-07,0.004965325720390872,104.90394342171034,2677.107473712748,-1.0401009939850645e-06,0.007117422802494535,0.21230617137073332,0.311087926242386,0.5577311069701006,1.1154622139402013,0.40197751731865894,0.3675846425620763,0.4770601068335268,0.2385300534167634,0.41259013630328095,0.2240941948971438,0.7887835220745701,0.7887835220745701,2.1427757894315347,2876.0,0.0063,826800.0,1693.4366801437557,548422.7365611434,0.0030878309144554495
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,70.28343103162898,1928.3994713450975,2.6329287296643554e-07,0.007371942094588769,0.5575858507702728,0.32380018557559503,0.515101412710442,1.030202825420884,0.5299569902083276,0.33134468436118536,0.5397517412656038,0.2698758706328019,0.2655712268800333,0.4061294710849715,0.8230372871624833,0.8230372871624833,2.1231159832161692,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.30048176648755653,8.2523003792373,9.736030450138568e-07,0.00579238208704733,65.04349242160387,1784.845480466629,-1.4335760361444852e-07,0.006282614730846916,0.10999584992086375,0.35130067910700463,0.5502576606072495,1.100515321214499,0.5452013966860976,0.5469443452434322,0.587357594253369,0.2936787971266845,0.24331938810853762,0.34933563946333823,0.6764332190997996,0.6764332190997996,2.070627337440983,2598.0,0.0076,393600.0,1933.58343079922,397214.2287506995,0.004867860441154489
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.2762104600979801,8.151160584948675,2.497247434776702e-06,0.0064198939127180785,59.50923844244118,1728.7507172659627,2.5179702992695363e-06,0.007480388554811382,0.10129427575103045,0.5207410129676924,0.3979370844109106,0.7958741688218212,0.49461762159831885,0.873705214438379,0.6710435200114029,0.33552176000570144,0.2198177144383099,0.7210234094548824,0.8376322498567288,0.8376322498567288,1.9690281786842514,4873.0,0.0071,439100.0,1777.676192019433,342592.3016640567,0.005188897074992094
"Chattanooga, TN",11.189897735901969,418.1818181818182,7.309571484710782e-08,0.0016768677297878717,0.2220234847315525,6.157673202647145,1.1426447336852527e-06,0.005299235546318261,49.68493587141322,1385.769119742363,1.2407602701258887e-06,0.006436082989249972,0.08327892996616815,0.4109328121465867,0.47922345932957905,0.9584469186591581,0.3816866680424145,0.5831970361544948,0.5215908260316368,0.2607954130158184,0.17809798962423284,0.542645034122479,0.6970873142315868,0.6970873142315868,1.9163296459065633,4873.0,0.0071,286100.0,1540.7086406428016,303161.206082139,0.005082143129571003
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,90.60557396645355,2412.9204941452817,-1.2821051259622741e-06,0.005583961722984842,0.2127347052847343,0.33224243217764254,0.5146105809515757,1.0292211619031515,0.5854596251462884,0.15905540818424224,0.5351414709810987,0.2675707354905493,0.3518709112335567,0.1902952871992713,0.5824069635167419,0.5824069635167419,1.8791988609104429,2598.0,0.0076,1095100.0,2257.290357841637,584288.8717138467,0.0038633122537838384
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,0.215516897044676,6.865604513679978,3.909186047628978e-08,0.005842600211756853,54.10997101053833,1544.9468185508479,-2.353886441869329e-07,0.006817401762392887,0.08587163219234072,0.36905291515831845,0.40365467091206103,0.8073093418241221,0.3681263032701574,0.3465290193422065,0.5940547592855288,0.2970273796427644,0.1968892724620948,0.33648235212384153,0.7484060318477458,0.7484060318477458,1.8527427533146321,3564.0,0.0154,585700.0,1598.2777921109964,325159.0774157741,0.004915371899851076
