msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.10449715975853271,0.3930065358814231,0.6373461983953973,0.6373461983953973,0.6373461983953973,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.3132385544893173,0.3588744939968322,0.625839593523594,0.625839593523594,0.625839593523594,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.21230617137073332,0.3715675008492591,0.6129403972677991,0.6129403972677991,0.6129403972677991,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.10999584992086375,0.39216228887389526,0.6071453431238215,0.6071453431238215,0.6071453431238215,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.5575858507702728,0.37807802966490733,0.5798845118862005,0.5798845118862005,0.5798845118862005,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.2127347052847343,0.38240168986808265,0.5795039114938098,0.5795039114938098,0.5795039114938098,2598.0,0.0076,1095100.0,2257.290357841637,590018.0704427218,0.003825798684687526
"Chattanooga, TN",11.189897735901969,418.1818181818182,7.309571484710782e-08,0.0016768677297878717,0.08327892996616815,0.422702628739253,0.5520640563262729,0.5520640563262729,0.5520640563262729,4873.0,0.0071,286100.0,1540.7086406428016,299111.29460146767,0.005150954405435018
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.08032688596242016,0.44697599746321476,0.537424915139153,0.537424915139153,0.537424915139153,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.1047079245383506,0.4668403160762848,0.5336402080787618,0.5336402080787618,0.5336402080787618,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,0.19319345197933813,0.4755716635163859,0.5264785477055446,0.5264785477055446,0.5264785477055446,4451.0,0.0085,1179500.0,1529.352250592349,280482.5278091416,0.005452575825446849
"Durham, NC",13.288517005094866,455.45454545454544,3.043262667393675e-07,0.0014438818752078924,0.09110813447956867,0.4767164290553048,0.5112330216851658,0.5112330216851658,0.5112330216851658,4375.0,0.0084,351500.0,1735.7898789638784,415734.9550236545,0.004175231978906165
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.27460331420388184,0.3256261005208203,0.4968228504313017,0.4968228504313017,0.4968228504313017,2801.0,0.0098,2146400.0,2193.73452344798,783020.2117733428,0.0028016320529960855
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.19587963584080104,0.402915007883059,0.4946369746671505,0.4946369746671505,0.4946369746671505,2598.0,0.0076,1560300.0,2971.155757070846,1006021.5507693476,0.0029533718783645107
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,0.08587163219234072,0.4012540200386569,0.4934665633876561,0.4934665633876561,0.4934665633876561,3564.0,0.0154,585700.0,1598.2777921109964,319844.50128496205,0.0049970463324833835
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.10129427575103045,0.4789404254126341,0.4890330367737845,0.4890330367737845,0.4890330367737845,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
"Columbia, SC",9.784084142983138,478.1818181818182,4.5764129929849585e-07,0.0012354894214141497,0.07803433782492053,0.5125297222656081,0.4747120083595407,0.4747120083595407,0.4747120083595407,4319.0,0.0057,433800.0,1493.6250179330352,248386.99636799356,0.006013297957515378
"Bakersfield, CA",11.529888972154861,315.45454545454544,7.567357954980928e-07,0.0012231417662662467,0.08454731673858708,0.5823960537739228,0.47254806782336795,0.47254806782336795,0.47254806782336795,2598.0,0.0076,293100.0,1754.401058597983,349602.8949897485,0.005018268108590542
"Richmond, VA",15.311589675644983,769.0909090909091,2.333865989748203e-07,0.0011953882517595931,0.09865550141540155,0.46014543089885585,0.46768423300268086,0.46768423300268086,0.46768423300268086,3430.0,0.0082,724100.0,1630.087015609046,367065.2336323767,0.004440864637269383
"San Jose, CA",26.144549478123526,1202.7272727272727,-5.142721535373114e-07,0.0011842021915166316,0.13906943405391659,0.28549770276665254,0.46572386328795606,0.46572386328795606,0.46572386328795606,2598.0,0.0076,1162200.0,3277.120039914307,1740114.7781592829,0.0018832780923686478
"San Francisco, CA",44.32871293960535,2344.5454545454545,-5.817203267245849e-07,0.0011301917031955528,0.20690810147442454,0.269742292729326,0.4562584640962466,0.4562584640962466,0.4562584640962466,2598.0,0.0076,2472300.0,3023.5909346900467,1265181.2847778692,0.0023898479775733526
"Portland, OR",28.887317399634387,1185.4545454545455,-5.544777757029499e-07,0.0011180787394517596,0.1493017288324552,0.27610595747406125,0.4541356534941999,0.4541356534941999,0.4541356534941999,3016.0,0.0097,1231700.0,1809.646129511547,564868.1451757918,0.003203661146351897
