msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.1691390799447775,0.3541908608869204,0.9185709069788317,0.9185709069788317,0.7008941315310061,0.28044062994957003,0.8908076756041151,0.8908076756041151,1.809378582582947,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.45503734678354324,0.725974626348715,0.725974626348715,0.7411736034345473,0.3520300580237964,0.8640516148485043,0.8640516148485043,1.5900262411972195,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,0.1047136351128566,0.1387496943855936,0.7693877031383607,0.7693877031383607,0.650991406462485,0.0,0.8002932030038115,0.8002932030038115,1.5696809061421721,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,0.14877157880238714,0.0,0.9964714099712988,0.9964714099712988,0.48131985116242265,0.5464850187975505,0.5669898762377049,0.5669898762377049,1.5634612862090038,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.3527182417674229,10.163000732485585,-7.868722236530663e-07,0.0058666153741324225,0.11183441943303937,0.37117662246002914,0.7461478764403964,0.7461478764403964,0.8434037561716284,0.1928512293369375,0.8138128850906178,0.8138128850906178,1.559960761531014,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.22252021879642467,0.704093633625107,0.704093633625107,0.9492505836108908,0.5044485006552458,0.7564577430944321,0.7564577430944321,1.4605513767195393,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,0.26770237936225993,8.449148204335993,1.8108384710865322e-06,0.005435451640719667,0.12785647275851744,0.6936046088208757,0.7394133998691811,0.7394133998691811,0.5784406043747171,0.8271076910963315,0.7144728111540009,0.7144728111540009,1.4538862110231818,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,0.24847310592116106,0.8600555772013262,0.7786166305892132,0.7786166305892132,0.5855046949096121,0.4042887230983714,0.6587732746530367,0.6587732746530367,1.4373899052422499,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.2705116449667492,7.186395564195222,2.3795880766926157e-07,0.005732940278431724,0.10449715975853271,0.42056380881828237,0.6459400490307501,0.6459400490307501,0.5871960512729999,0.44307374454773496,0.7830141586177689,0.7830141586177689,1.4289542076485189,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.255148242345367,6.936809889403717,-1.4485331304756614e-07,0.006434663730161005,0.08032688596242016,0.5461304697032612,0.47657396148751857,0.47657396148751857,0.5393139800250919,0.3496064228416878,0.9446911601273364,0.9446911601273364,1.421265121614855,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
