zipcode,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,Median Rent,Median Price,rent_price_ratio
80219,0.3889906760155229,12.09541103766761,3.896817749658658e-06,0.0063398662820476435,0.7331042911201755,1.0,1.0,1.0,1.0,2331.1309523809523,446860.7459459158,0.0052166832140209795
80010,0.30652734018847516,8.829718834305861,1.3158997999774584e-06,0.00615354040424628,0.45840671060562554,0.5228261272053448,0.9572793732779312,0.9572793732779312,0.9572793732779312,1744.0259784075572,416100.55610412377,0.004191356999703546
80212,0.43107645120122007,12.016539803845706,4.0509244636996627e-07,0.006013951692537669,0.8732982391534827,0.35443120696217234,0.9252746012200457,0.9252746012200457,0.9252746012200457,2420.5740740740744,750696.5125874183,0.003224437616915397
80003,0.3424572244568695,9.837650539072095,1.1564519898492647e-06,0.0057439037825815645,0.5780944746004751,0.49334656584350645,0.8633582635945848,0.8633582635945848,0.8633582635945848,2059.7546296296296,547556.0879201355,0.003761723547725503
80017,0.29736904648786217,8.4104524749289,4.634510373872655e-07,0.005527191618775582,0.4278990783837567,0.36522085445561703,0.8136706970293168,0.8136706970293168,0.8136706970293168,1813.8829593139935,445790.5378569222,0.0040689130999370035
80104,0.36793532182240657,9.961876725772953,-4.828253405621356e-08,0.005407159060615268,0.662965789012323,0.2706088230445109,0.7861497419576415,0.7861497419576415,0.7861497419576415,2188.423529411765,615630.2975819684,0.003554769052152418
80239,0.3602239823983713,9.604180062424174,-1.511940140972668e-06,0.0053419989335516315,0.6372781757104347,0.0,0.7712098876642095,0.7712098876642095,0.7712098876642095,2075.714285714286,453535.51329533645,0.004576740354095728
80401,0.3778919123774198,9.830402320971968,6.51449546318844e-07,0.005163871270078094,0.6961326662457694,0.39997902125343515,0.7303689400195683,0.7303689400195683,0.7303689400195683,2242.8714912280698,837673.6039568456,0.002677500497369875
80015,0.42120156133123465,11.7598616078849,5.082198826445638e-07,0.005092537674496913,0.8404035189978265,0.3734979572881996,0.7140136385148819,0.7140136385148819,0.7140136385148819,2712.4159234485323,575766.2685206952,0.004710967056853623
80214,0.2727088041952813,7.9130405702018995,1.4317957717335674e-06,0.005071433383635476,0.34575216030513284,0.5442535924569983,0.7091748660224932,0.7091748660224932,0.7091748660224932,1833.1884411884407,568811.9954308461,0.0032228371692476243
80226,0.3144096171945683,8.538155298126297,1.966438097648068e-06,0.005025260272641424,0.48466374230102605,0.6431011165513141,0.6985883373950719,0.6985883373950719,0.6985883373950719,2000.4182098765432,564655.1626935398,0.0035427254403095714
80016,0.33592289899511774,8.95854920791703,1.9219333994301804e-06,0.004994043068736947,0.5563276690664078,0.6348728506318919,0.6914308854563153,0.6914308854563153,0.6914308854563153,2107.8712522045857,754909.4695921447,0.002792217261949842
80241,0.30544633637019125,8.372816348413048,-4.186656912844584e-07,0.004992965906500969,0.45480572684197595,0.20213040993790898,0.6911839146847547,0.6911839146847547,0.6911839146847547,1966.852965747703,539856.8499691602,0.003643286115310126
80120,0.2737055293228499,8.258913104269025,1.268674039640505e-06,0.004979443565346402,0.34907239927236783,0.5140947768117998,0.6880835246815551,0.6880835246815551,0.6880835246815551,1947.924688057041,632195.1346198557,0.003081207971061569
80123,0.3183703546670741,8.242884806800417,2.1684176742828906e-07,0.004971565934762357,0.49785754521766473,0.31962641762823824,0.6862773487514778,0.6862773487514778,0.6862773487514778,1944.4034875066452,613024.3274069708,0.003171821085357689
80249,0.3379928680878677,9.30040396539822,2.0835979449890634e-06,0.004955370506250636,0.5632230425777449,0.6647622538604792,0.6825640757256517,0.6825640757256517,0.6825640757256517,2199.052113980604,500889.8551204777,0.00439029078249483
80129,0.36931836258877804,10.077505715902578,3.114330686014045e-06,0.00489687787295283,0.6675729025672735,0.8553296192088792,0.6691529383002299,0.6691529383002299,0.6691529383002299,2407.5274074074077,697094.2164523874,0.003453661428522045
80220,0.2908741401561841,7.930246738136883,2.281762730089165e-07,0.004892808392233916,0.40626358380805216,0.3217220014590953,0.6682198914857089,0.6682198914857089,0.6682198914857089,1898.854568854569,705652.4050120497,0.00269092056566029
80033,0.3096439193075666,8.142945924550105,9.151700720939928e-07,0.004882759852576655,0.4687884970675767,0.44873707829864823,0.6659159715103129,0.6659159715103129,0.6659159715103129,1959.367261904762,609115.9210993182,0.00321673953024991
80113,0.31643686268144516,8.190051110464465,2.4415291659502783e-06,0.004880322155090584,0.4914167971558779,0.7309384865924339,0.6653570584618808,0.6653570584618808,0.6653570584618808,1964.726194067371,664785.1138127671,0.002955430489107981
80231,0.2588897828265457,7.284462033136927,1.8553741258061112e-06,0.0048738862624625,0.29971895418996797,0.6225670172095162,0.6638814428907532,0.6638814428907532,0.6638814428907532,1747.4806184856575,466515.8064034781,0.0037458122415134298
80122,0.3323475986861165,9.587131134853658,1.2445670368431605e-06,0.004855468835535139,0.544417814406206,0.5096377455885867,0.6596587121019385,0.6596587121019385,0.6596587121019385,2313.259595959596,656562.9651095131,0.0035232867506831576
80109,0.46911191491005033,12.79747448758559,1.5113305562787235e-06,0.004845735877084487,1.0,0.5589584075279262,0.6574271482967489,0.6574271482967489,0.6574271482967489,3080.577777777778,675759.8972821464,0.004558686880011113
80229,0.2914325427535139,7.597017420388486,8.826725568956291e-07,0.004811550948878069,0.408123705532466,0.4427287644019117,0.6495892592463401,0.6495892592463401,0.6495892592463401,1843.0048309178744,441856.16077772185,0.004171051565002413
