zipcode,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,Median Rent,Median Price,rent_price_ratio
80216,76.4482958789794,2122.1727123862793,-5.0258982857379445e-06,0.008429430250470007,0.22678013826217572,0.0,1.0,1.0,1.0,1901.8135100193924,389568.5775011782,0.0048818452510165315
80444,105.5877410244789,2812.0564516991644,-8.759240983414155e-07,0.008235548533146902,0.4373914182343581,0.6889165006658549,0.963969504281359,0.963969504281359,0.963969504281359,,523291.29941058,
80010,76.77089915009165,2225.9313435689114,-4.633587699371722e-06,0.008179504716155396,0.2291118191680031,0.06512552226334214,0.9535544608412206,0.9535544608412206,0.9535544608412206,1744.0259784075572,416100.55610412377,0.004191356999703546
80103,108.83667693043324,2984.4546738016925,-2.8448886707983534e-06,0.008167780893334607,0.460873764802179,0.36205851988331894,0.9513757347922525,0.9513757347922525,0.9513757347922525,,558534.4149904214,
80011,80.3837922295094,2310.7936408795053,-3.927000783465957e-06,0.008158777491663622,0.25522474040103943,0.1824224893144691,0.9497025650378346,0.9497025650378346,0.9497025650378346,1759.924074074074,432509.68379362935,0.004069097502366713
80456,96.43528658525759,2526.9944245442357,2.9341183933368787e-07,0.008112941251940151,0.3712401880133806,0.8830321230551431,0.9411844723475223,0.9411844723475223,0.9411844723475223,,474944.5855058317,
80219,82.15216625755232,2372.0624087815636,-4.316421948668521e-06,0.008078120277880275,0.2680060241782704,0.11777662543624728,0.9347134292078929,0.9347134292078929,0.9347134292078929,2331.1309523809523,446860.7459459158,0.0052166832140209795
80239,83.7369510425305,2403.5934433039106,-3.808647795577464e-06,0.008051561202284535,0.2794603792759084,0.20206967808665754,0.9297777567125403,0.9297777567125403,0.9297777567125403,2075.714285714286,453535.51329533645,0.004576740354095728
80475,110.33146596937408,2977.4728600499493,-2.343829262314028e-06,0.008026148958720385,0.4716776572993683,0.44523689129754623,0.9250552086271356,0.9250552086271356,0.9250552086271356,,563091.623909669,
80449,86.7878928551081,2302.817650572983,3.770604976376169e-07,0.007993138593823702,0.30151168317202454,0.8969182192962113,0.9189206445872546,0.9189206445872546,0.9189206445872546,,436932.5430192587,
80421,107.48347227995838,2941.478144781692,-2.7920405709212666e-06,0.007908932250716113,0.45109320233512606,0.37083156915787424,0.9032719473985238,0.9032719473985238,0.9032719473985238,,561442.8785069678,
80440,118.12746902716675,3207.3253842120976,9.98016344533614e-07,0.007894409861021775,0.5280248586434663,1.0,0.9005731426482321,0.9005731426482321,0.9005731426482321,,613143.9810605561,
80448,134.85023420607365,3575.4699793228915,-6.034940940283308e-07,0.007876856248647396,0.6488920529712138,0.7341412458745703,0.8973110230206875,0.8973110230206875,0.8973110230206875,,684892.3249027553,
80420,118.74581476321076,3238.849785844045,9.776764500445627e-07,0.007866905648934448,0.5324940785027773,0.996623475640435,0.8954618283400061,0.8954618283400061,0.8954618283400061,,620550.6020989367,
80017,80.71529790895005,2319.504879041814,-3.0192024788050368e-06,0.007818811230799432,0.25762076527784894,0.3331215546861835,0.8865240813949633,0.8865240813949633,0.8865240813949633,1813.8829593139935,445790.5378569222,0.0040689130999370035
80452,97.62380386457808,2543.45100555033,-1.4743545037886356e-06,0.007784390921135293,0.3798304389332889,0.5895740560634746,0.8801274967292658,0.8801274967292658,0.8801274967292658,2500.0,490270.5804966796,0.005099224998300569
80432,86.92402960764883,2422.920468637407,-4.278474841221483e-07,0.007780942276768496,0.3024956393029905,0.7632994628624934,0.8794866092448317,0.8794866092448317,0.8794866092448317,,467301.4081978839,
80030,84.47663997423528,2385.771391127143,-3.101010099091451e-06,0.007731853049766101,0.2848066318181144,0.3195410799770446,0.8703639894962475,0.8703639894962475,0.8703639894962475,1700.0833333333333,461760.0596887842,0.0036817461745806924
80260,76.97451514836384,2198.6276560420497,-3.2605849410743835e-06,0.007691886834488221,0.23058349530338557,0.2930508569614275,0.8629367675366845,0.8629367675366845,0.8629367675366845,1751.181818181818,426847.7569070133,0.004102591122584496
80229,78.63354072897728,2265.409911042013,-3.0450724900404965e-06,0.00763598251035416,0.2425744408857367,0.3288270032485756,0.8525476471019351,0.8525476471019351,0.8525476471019351,1843.0048309178744,441856.16077772185,0.004171051565002413
80102,103.67361629609124,2844.370596960187,-2.698580856801545e-06,0.007625433522244056,0.4235566915585692,0.3863463498040117,0.850587249411091,0.850587249411091,0.850587249411091,,555579.6026983516,
80827,90.43750924211047,2447.8723410590583,-2.1366789795114344e-07,0.007622826917577591,0.3278900295968101,0.7988543469066169,0.8501028444884817,0.8501028444884817,0.8501028444884817,,478401.1567162611,
80221,85.34159525229892,2439.09899967038,-3.469703973690686e-06,0.007579479342514938,0.29105827241463456,0.2583360501536698,0.8420472390437168,0.8420472390437168,0.8420472390437168,2276.269841269841,478116.7241119064,0.0047609082185902886
80012,77.41821709004373,2230.8779857695354,-3.2801420020434653e-06,0.007557538533054044,0.23379044153714998,0.289804286887077,0.8379698136306397,0.8379698136306397,0.8379698136306397,1607.273137973138,438078.6867058931,0.0036689142538728235
80214,101.5017866925357,2889.0362968899763,-3.393465814887374e-06,0.0075320841980524985,0.4078593503634176,0.2709919663614125,0.8332394433772875,0.8332394433772875,0.8332394433772875,1833.1884411884407,568811.9954308461,0.0032228371692476243
80223,86.21659482525361,2428.3420232999365,-4.086112931207929e-06,0.007514752642244601,0.2973825102000463,0.15600907586030147,0.8300185901892937,0.8300185901892937,0.8300185901892937,2072.3504428341384,478689.170390252,0.004329219399604657
80002,103.4951989701731,2911.840888820383,-2.716272722482493e-06,0.0074375578773506765,0.42226714396446763,0.38340941148950736,0.8156729072419073,0.8156729072419073,0.8156729072419073,2155.177191166322,577775.3196309622,0.0037301302391090033
80422,101.99775697179228,2768.7412806985144,-1.4800309302239275e-06,0.007384186626947082,0.4114440766621104,0.5886317408442704,0.8057545269236613,0.8057545269236613,0.8057545269236613,,551982.0719542024,
80117,127.90407020096224,3287.9558740035877,-2.3977437420174802e-06,0.007382146671562041,0.5986872366231865,0.436286817630745,0.805375426692955,0.805375426692955,0.805375426692955,,655562.3748347188,
80003,96.01323420383505,2740.142611822566,-2.6650842503886157e-06,0.007357405931961564,0.36818971838971876,0.39190695423963917,0.8007776692325884,0.8007776692325884,0.8007776692325884,2059.7546296296296,547556.0879201355,0.003761723547725503
80820,102.58630754265172,2718.5068525968472,-3.6360345059224016e-07,0.007282867273113467,0.4156979458911959,0.7739642942010829,0.7869255904209286,0.7869255904209286,0.7869255904209286,,547352.5752202349,
80474,101.76514148376796,2672.5232735511977,-1.6335370953483305e-06,0.007225566899412119,0.4097628008028917,0.5631489485827401,0.7762770316097728,0.7762770316097728,0.7762770316097728,,540421.3458051304,
80470,122.38942573008225,3317.3956305768793,-1.5991037204054423e-06,0.007174168010872913,0.5588290195293399,0.568865061286239,0.7667251901106154,0.7667251901106154,0.7667251901106154,,674067.4794006151,
80022,86.14681450649505,2438.548544791078,-2.9616779498986506e-06,0.007171031593607412,0.2968781587212441,0.34267091460196186,0.7661423261334608,0.7661423261334608,0.7661423261334608,2335.3012820512818,495485.8795278046,0.004713154054514755
80110,90.37049697065386,2514.339720513357,-2.990576788171326e-06,0.007138836221686191,0.32740568474415943,0.33787356270599506,0.760159218359382,0.760159218359382,0.760159218359382,1925.852525252525,512282.555817001,0.003759356049477671
80436,103.86084655974045,2626.727598515292,-1.8260426918024775e-06,0.007132224672700922,0.4249099364566718,0.5311920553879459,0.758930544554052,0.758930544554052,0.758930544554052,,535828.3268868065,
80019,99.78088105383115,2746.1643477715925,-2.285294441365686e-06,0.00712138041862332,0.3954211540467355,0.4549539647524373,0.7569152753708119,0.7569152753708119,0.7569152753708119,,560362.9922152413,
80249,87.73453484261573,2448.9123133650614,-2.708500976378263e-06,0.007098452492971264,0.3083537311131874,0.38469956026837204,0.7526544067419922,0.7526544067419922,0.7526544067419922,2199.052113980604,500889.8551204777,0.00439029078249483
80004,105.73342286353147,3011.0802636337676,-2.402502609193116e-06,0.007069237470429886,0.43844436342388937,0.4354968218443304,0.7472251596776963,0.7472251596776963,0.7472251596776963,2139.611111111111,617784.9388400228,0.0034633591345372204
80235,82.6558358926783,2346.467432358302,-2.3388747055403556e-06,0.00705586024253492,0.27164639914105126,0.4460593725373657,0.744739168945555,0.744739168945555,0.744739168945555,2005.8333333333333,481714.8262430184,0.004163943528533661
80233,83.08100913002953,2349.002037156857,-2.513996547691103e-06,0.00705009932999494,0.2747194253871358,0.4169882696251963,0.7436685752997328,0.7436685752997328,0.7436685752997328,1928.2084249084248,482508.635546016,0.003996215368718588
80433,137.03146534117244,3733.221126116045,-1.0727727193685571e-06,0.006997399871832586,0.664657345652131,0.6562386436394735,0.7338750391793103,0.7338750391793103,0.7338750391793103,,771035.2622139117,
80136,96.2084958665118,2680.6075927320853,-2.881473978019547e-06,0.006985256598255112,0.3696010118615231,0.3559851756434547,0.7316183634458561,0.7316183634458561,0.7316183634458561,,553956.0793867101,
80033,105.72249958059125,2937.4470990045274,-2.6045420481483285e-06,0.0069552970756453615,0.43836541316968747,0.40195726304316187,0.7260507603421338,0.7260507603421338,0.7260507603421338,1959.367261904762,609115.9210993182,0.00321673953024991
80232,92.64676793288068,2626.5179920722617,-2.411838192902083e-06,0.006906980323053499,0.3438578971498628,0.4339470681904434,0.7170716953150866,0.7170716953150866,0.7170716953150866,2117.055555555555,547121.8500851028,0.003869440701785635
80236,93.95645842844326,2568.3251447686084,-2.8992406514349555e-06,0.006885884713546517,0.35332395219176665,0.3530358188703479,0.713151339757493,0.713151339757493,0.713151339757493,2210.288888888889,536001.8593455433,0.004123658995488644
80013,84.84009200715323,2395.607645215651,-2.5536136111548884e-06,0.00687345511300811,0.28743355547706273,0.4104116386642095,0.7108414537343712,0.7108414537343712,0.7108414537343712,2329.542857142857,500600.6633780335,0.0046534953458175505
80031,90.05521118281075,2545.589466667837,-2.5568328938311066e-06,0.006850595973659171,0.3251268924403557,0.40987722161586015,0.7065933681808932,0.7065933681808932,0.7065933681808932,2153.0756410256413,533066.7718992048,0.004039035547750773
80021,97.605635185438,2750.9734610143732,-2.22109006167985e-06,0.006846377169873694,0.3796991211010519,0.46561221335430075,0.7058093561872452,0.7058093561872452,0.7058093561872452,1993.2929970972425,576364.8336088862,0.0034583876060173815
80226,96.2816480875122,2684.880370184823,-2.435925905848093e-06,0.006809084779370752,0.3701297344511528,0.4299483871957022,0.6988790311679195,0.6988790311679195,0.6988790311679195,2000.4182098765432,564655.1626935398,0.0035427254403095714
80204,93.13497330419132,2682.4585600364476,-3.917733695814688e-06,0.006804229358882462,0.34738650099347135,0.18396087227970898,0.6979767119109471,0.6979767119109471,0.6979767119109471,2037.5061235905985,564307.0904381634,0.0036106335683440574
80439,164.29798829846982,4333.40211764866,-1.100346087250514e-06,0.006793946714485892,0.8617316987070047,0.6516613264671159,0.6960658108728182,0.6960658108728182,0.6960658108728182,3193.75,913223.1462990232,0.0034972284845638897
80601,87.06230773774365,2429.4211880155844,-2.3582662485887983e-06,0.006793518045155582,0.3034950726767563,0.44284027926685426,0.6959861480315576,0.6959861480315576,0.6959861480315576,2072.8703703703704,511482.3645070458,0.004052672221393503
80438,77.73035835106924,1900.6384874222235,-2.8413344754802694e-06,0.0067898807254641565,0.2360465061323562,0.3626485341076613,0.6953101975944629,0.6953101975944629,0.6953101975944629,,400743.1913068216,
80454,118.59539072126628,3217.2109032005715,-2.1290648869821482e-06,0.006785922894704394,0.5314068580751293,0.48088885327134967,0.6945746841782747,0.6945746841782747,0.6945746841782747,,678583.1746109357,
80247,45.07178366248139,1487.5139237686149,-3.706644250922846e-06,0.006776301282446773,0.0,0.21900277739421192,0.6927866277073446,0.6927866277073446,0.6927866277073446,1945.125730994152,313925.19059277495,0.00619614414288077
80403,152.58155689722918,4146.927052831646,-9.233614744558168e-07,0.0067728075185576634,0.777048802316897,0.6810416586360529,0.6921373553231995,0.6921373553231995,0.6921373553231995,3002.31746031746,875668.4463273034,0.003428600714014157
80401,144.27136374528052,3957.1852156479513,-1.0965664862797517e-06,0.006747030393210767,0.7169851872477444,0.6522887591587695,0.6873469985155877,0.6873469985155877,0.6873469985155877,2242.8714912280698,837673.6039568456,0.002677500497369875
80135,154.59162999503286,4097.825906444451,-1.428561731632942e-06,0.006738978418661036,0.7915770153920684,0.5971758855989687,0.6858506396090013,0.6858506396090013,0.6858506396090013,,868151.1540393155,
80105,70.4463055412451,1866.0089123393668,-2.085628605415616e-06,0.006686668377286584,0.18339952956839192,0.48809949356632576,0.6761294717350693,0.6761294717350693,0.6761294717350693,,397054.6653257956,
80465,118.3763342133931,3261.1102533842386,-1.671733045042744e-06,0.006684126142767443,0.5298235825090009,0.5568082296252586,0.6756570292004025,0.6756570292004025,0.6756570292004025,2255.8888888888887,694343.5986256222,0.0032489518062155044
80014,65.22901379719947,1926.629728317723,-3.1495103224079324e-06,0.006673404702956368,0.14569048992418793,0.3114897999883216,0.6736645835147331,0.6736645835147331,0.6736645835147331,1989.5369963369965,410621.74374609214,0.004845181792338855
80215,116.54353110065442,3203.854959054453,-2.0559227355394787e-06,0.006599858616158158,0.5165766243880254,0.4930308167505652,0.6599969618220201,0.6599969618220201,0.6599969618220201,1849.0833333333333,688364.3311717642,0.002686198644525555
80453,100.57998568592058,2619.474008189842,-2.2468078447052323e-06,0.006584346387667573,0.4011968456755806,0.4613429325620158,0.6571142078938342,0.6571142078938342,0.6571142078938342,,563838.7897789263,
