msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.1691390799447775,0.3541908608869204,0.9185709069788317,0.9185709069788317,0.7008941315310061,0.28044062994957003,0.8908076756041151,0.8908076756041151,1.809378582582947,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.3730576122294705,10.271063114494815,4.1193473208332043e-07,0.006674719580184243,0.10925952433918883,0.28538326464113184,0.7258633380661206,0.7258633380661206,0.9067940877018282,0.48555166731012406,1.0,1.0,1.7258633380661206,5854.0,0.0089,307800.0,2183.705910664381,412982.1747256646,0.005287651730041305
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,0.32426619929643064,9.146890646815788,-3.1904378211983985e-08,0.006296099351753401,0.10186420564984103,0.3124241745885507,0.6850321208599479,0.6850321208599479,0.7547292119760282,0.37718400948879904,0.9127659434885441,0.9127659434885441,1.597798064348492,5854.0,0.0089,255800.0,2020.6079150506584,365323.0303034143,0.005531017065561042
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,0.2919251169265985,8.010190414850133,6.926885300972433e-07,0.005653014905528409,0.12384796989653622,0.4513622927885872,0.8274967685732746,0.8274967685732746,0.6539339618332285,0.5541004517896337,0.76459936201421,0.76459936201421,1.5920961305874846,5854.0,0.0089,276200.0,1910.046259612916,317937.38471395965,0.006007617699099264
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.45503734678354324,0.725974626348715,0.725974626348715,0.7411736034345473,0.3520300580237964,0.8640516148485043,0.8640516148485043,1.5900262411972195,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,0.1047136351128566,0.1387496943855936,0.7693877031383607,0.7693877031383607,0.650991406462485,0.0,0.8002932030038115,0.8002932030038115,1.5696809061421721,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,0.14877157880238714,0.0,0.9964714099712988,0.9964714099712988,0.48131985116242265,0.5464850187975505,0.5669898762377049,0.5669898762377049,1.5634612862090038,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.3527182417674229,10.163000732485585,-7.868722236530663e-07,0.0058666153741324225,0.11183441943303937,0.37117662246002914,0.7461478764403964,0.7461478764403964,0.8434037561716284,0.1928512293369375,0.8138128850906178,0.8138128850906178,1.559960761531014,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.33569431098344243,9.262067932580315,1.1818696280464115e-06,0.006061210427510041,0.3622119281131578,0.4995142395444159,0.6512033415322721,0.6512033415322721,0.7903464298223518,0.6735387991672338,0.8586475627134845,0.8586475627134845,1.5098509042457566,5854.0,0.0089,1548500.0,2099.0094408498258,395093.27571237047,0.005312693406551199
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.22252021879642467,0.704093633625107,0.704093633625107,0.9492505836108908,0.5044485006552458,0.7564577430944321,0.7564577430944321,1.4605513767195393,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
