msa_name,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Spokane, WA",88.20306933741993,2154.1706020880574,-1.0170463533227495e-06,0.007940602413219748,0.31592199969822304,0.3070968172374568,0.7805574806626366,0.7805574806626366,0.7805574806626366,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Pahrump, NV",71.64653010212598,1713.1577691741727,-9.313381900994118e-07,0.007939314932390161,0.26369854847915997,0.31584813686386837,0.7804615628448052,0.7804615628448052,0.7804615628448052,2707.0,0.006,,1381.3333333333333,326196.3774461493,0.004234667914303779
"Bozeman, MT",143.3290268815863,3962.9977733883843,-5.886388864401512e-07,0.007935252546496475,0.48980300911684405,0.35083979960964323,0.780158913530612,0.780158913530612,0.780158913530612,4271.0,0.0084,,2266.8691358024694,755171.7246212835,0.003001792919271836
"Calhoun, GA",47.56891474252315,1364.6282784359355,1.4112701580914352e-06,0.0079179504375552,0.1877517486477604,0.5550425571327633,0.7788698997485108,0.7788698997485108,0.7788698997485108,4006.0,0.0092,,,259968.6567468365,
"Flint, MI",32.20260852023229,899.0303871842913,-1.259106766978709e-06,0.00791235309285784,0.13928258899956988,0.2823809912398244,0.778452895412071,0.778452895412071,0.778452895412071,3564.0,0.0154,140300.0,993.9122807017544,171420.39013332303,0.005798098347161235
"Twin Falls, ID",77.43560401086592,1879.2679587183964,-1.215016045750427e-07,0.007902296284823605,0.2819587304278221,0.3985373293345774,0.7777036593389384,0.7777036593389384,0.7777036593389384,3427.0,0.0069,50300.0,1592.7904761904765,358993.6261994532,0.0044368210462475965
"Mount Vernon, OH",43.50147983736552,1371.4254965418695,-1.8112276587530596e-06,0.007896229090305604,0.17492204520929042,0.22600612314533397,0.7772516510098418,0.7772516510098418,0.7772516510098418,3265.0,0.0156,,,261845.9461314519,
"Logan, UT",93.59462708146312,2324.491484885765,-6.927095022475297e-07,0.007894492011007857,0.33292831658844496,0.3402135629899807,0.7771222379329159,0.7771222379329159,0.7771222379329159,2876.0,0.0063,72500.0,1587.0256410256409,444134.7140729094,0.0035732978998014417
"Hailey, ID",215.6924367882549,5771.567190489587,1.4214661237324685e-06,0.007883957053218187,0.7180552394652041,0.556083626628,0.7763373795187868,0.7763373795187868,0.7763373795187868,3427.0,0.0069,,,1105282.5937763953,
"Sherman, TX",53.1004816436342,1466.757883743585,-1.208031481299959e-06,0.007878796773983931,0.20519968931457258,0.2875960854989359,0.7759529367277361,0.7759529367277361,0.7759529367277361,5602.0,0.018,53900.0,1513.4873684210525,280386.0660575272,0.005397869408070115
"Ogden, UT",102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.36168763683032445,0.3044209232321687,0.7756597348069038,0.7756597348069038,0.7756597348069038,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Edwards, CO",267.0634120420643,7814.738919779437,2.201355297401696e-06,0.007863418201117231,0.8800920988665994,0.6357150079956383,0.7748072271242709,0.7748072271242709,0.7748072271242709,5542.0,0.0051,,4578.88888888889,1498257.666672313,0.0030561424718478333
"Albany, OR",78.69635726191181,2099.1467426280797,-1.4887305235317187e-06,0.007849307062997041,0.28593546040560125,0.2589350228298337,0.7737559418977246,0.7737559418977246,0.7737559418977246,3016.0,0.0097,47700.0,1754.2195767195765,402117.663087405,0.0043624534253256025
"Longview, WA",81.1235448954833,2138.366949413895,-1.7490615219268876e-06,0.007849306973587183,0.2935914151422726,0.2323536600991644,0.7737559352366558,0.7737559352366558,0.7737559352366558,2801.0,0.0098,42400.0,1251.1976911976913,409653.2856296132,0.0030542845256926804
"Fallon, NV",71.33359935542218,1863.9494565441275,-1.8355225674425132e-06,0.00783065921017483,0.26271148691072577,0.2235254666566181,0.7723666696780196,0.7723666696780196,0.7723666696780196,2707.0,0.006,,,357835.1428948157,
"Carson City, NV",87.22306307522679,2433.305584268732,-2.628373007593368e-06,0.00782376069010045,0.31283081569529325,0.14257066192441373,0.7718527272746885,0.7718527272746885,0.7718527272746885,2707.0,0.006,32000.0,1758.1142857142856,467585.1752015344,0.0037599872257637742
"Punta Gorda, FL",72.05204465747777,1908.7968982428124,-1.0865286145967729e-07,0.007790440355477359,0.26497764245520594,0.3998492633857974,0.7693703495079571,0.7693703495079571,0.7693703495079571,5854.0,0.0089,56200.0,2233.710472033876,368148.8441547035,0.006067411340547973
"Deltona, FL",66.11042977938861,1786.783896259991,-2.4569452911983313e-07,0.0077844770303918485,0.2462363082706505,0.38585648381000165,0.768926079491599,0.768926079491599,0.768926079491599,5854.0,0.0089,226800.0,1902.259504707179,344253.99189267744,0.005525744216497615
"Rexburg, ID",92.73515613604265,2134.6929034926125,-1.525515434270943e-07,0.00778378513155188,0.3302173310162496,0.3953669435853604,0.7688745327614537,0.7688745327614537,0.7688745327614537,3427.0,0.0069,,1107.7037037037037,412037.9767275979,0.002688353419510204
"Sebastian, FL",71.58610335137874,2011.3302355313726,-3.495837880747499e-08,0.007743305576627196,0.26350794744683503,0.40737391387576216,0.765858790324024,0.765858790324024,0.765858790324024,5854.0,0.0089,59000.0,2263.7619047619046,388907.4234202571,0.005820824619013923
"Pocatello, ID",69.66637911637527,1737.1779780601378,1.2890174213118789e-06,0.007732446156392781,0.2574526587469453,0.5425598164634342,0.765049759332756,0.765049759332756,0.765049759332756,3427.0,0.0069,39900.0,1086.2694444444444,336230.58810229413,0.0032307276104039644
"Blackfoot, ID",76.8916173831365,1772.0367427739225,4.213658525741009e-08,0.00772484924201372,0.2802428610233943,0.41524577399672213,0.7644837862846559,0.7644837862846559,0.7644837862846559,3427.0,0.0069,,1041.25,343634.909134116,0.0030301054180546434
"Jefferson, GA",72.41966681753975,2000.6714232709382,4.526453651318398e-07,0.007714265805364098,0.26613721437239246,0.4571611926338951,0.763695316176783,0.763695316176783,0.763695316176783,4006.0,0.0092,,2180.503703703704,387578.76496081153,0.005625962774106515
"Sanford, NC",51.67363471111372,1435.6776053030032,2.2626472880339365e-06,0.007658691299545092,0.2006990584690449,0.6419732893586871,0.7595549940821011,0.7595549940821011,0.7595549940821011,4375.0,0.0084,,1638.2666666666669,279433.9776953463,0.0058628040876718005
"Pueblo, CO",61.321650526508535,1486.2355882546547,-1.4750094947352515e-06,0.007634218796985363,0.23113130497512308,0.26033602250227084,0.7577317832128907,0.7577317832128907,0.7577317832128907,5542.0,0.0051,64599.99999999999,1362.0622895622896,289876.8311027409,0.0046987621755790986
"Murray, KY",23.083909310536438,491.5881129408673,-7.132939021913713e-07,0.0076302102055538544,0.11051993899215086,0.3381117717900335,0.7574331416068549,0.7574331416068549,0.7574331416068549,5182.0,0.0086,,1042.25,96473.18345762703,0.010803520342601498
"Tullahoma, TN",54.604243201799925,1475.9361301135436,4.7374719636074615e-07,0.0076224994775795215,0.20994292805921083,0.45931581668418003,0.7568586894020584,0.7568586894020584,0.7568586894020584,4873.0,0.0071,,1505.0,288041.0914348371,0.005224948956077931
"Miami, FL",94.21456793643803,2915.839009126271,1.0798793034160372e-06,0.007609685996122921,0.33488376455606556,0.52120555513125,0.755904080096897,0.755904080096897,0.755904080096897,5854.0,0.0089,2956000.0,2748.1186255268763,569625.5022350437,0.004824430463074535
"Crossville, TN",53.82024708361371,1511.2707903039413,1.7701805479528262e-06,0.007589649762237686,0.20747000890308953,0.5916894694079963,0.7544113729530958,0.7544113729530958,0.7544113729530958,4873.0,0.0071,,1800.0,295924.7251080143,0.006082627936354386
"Mount Vernon, WA",109.23952178561369,2898.6415532761966,-1.5399300767324844e-06,0.007563120479767419,0.3822762137424531,0.2537072401083466,0.7524349311881356,0.7524349311881356,0.7524349311881356,2801.0,0.0098,52800.0,2062.190476190476,568756.5211652787,0.003625787836182384
"Show Low, AZ",76.27932639674985,1944.3846662140047,7.185116287371851e-07,0.0075181666554013996,0.2783115426479169,0.4843077392776181,0.7490858539535267,0.7490858539535267,0.7490858539535267,4086.0,0.0066,,,383381.37402053067,
"Lewiston, ME",55.306161028297275,1588.6356131727534,2.1175213540764394e-06,0.007513734422123787,0.2121569518265531,0.6271550575079581,0.7487556508667399,0.7487556508667399,0.7487556508667399,2510.0,0.0136,50100.0,1280.5555555555557,312968.45594858075,0.0040916441616274096
"Nashville, TN",81.68128003266864,2264.3768835286614,-1.0522865310096005e-06,0.007505253979765725,0.29535065077213574,0.3034985828682807,0.7481238546438079,0.7481238546438079,0.7481238546438079,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"Brevard, NC",82.41902059699271,2284.216846517333,1.7583734922979762e-06,0.007503608861965701,0.29767766838286763,0.5904838979198619,0.7480012927338923,0.7480012927338923,0.7480012927338923,4375.0,0.0084,,,450787.0197802151,
"Bend, OR",130.83570045999733,3436.0191071696063,-1.026708612668989e-06,0.0074984346098859725,0.45039594380751585,0.30611024236906437,0.7476158089604706,0.7476158089604706,0.7476158089604706,3016.0,0.0097,95000.0,2262.361242532856,679425.1082024724,0.003329816951449283
"St. George, UT",109.27801505865013,2709.6276711356722,-4.026041151273793e-07,0.007493362359081786,0.38239763111948527,0.3698350701201322,0.7472379243213748,0.7472379243213748,0.7472379243213748,2876.0,0.0063,86000.0,1807.457396546106,535604.7862689517,0.0033746102403918754
