msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.1691390799447775,0.29724706114795557,0.7966346795839567,1.7624084391126908,0.5587708581041035,0.24632769422344908,0.64182406727553,0.9212094963275818,0.40804593521629684,0.13443681956445624,0.9758215454500868,1.3838674806663835,4.067485416106656,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"St. George, UT",8.989171554922365,271.8181818181818,-4.7187035743649887e-07,0.003981104792564301,0.2598641623155186,6.924548734037178,-4.936754044807096e-07,0.004971856379922279,109.27801505865013,2709.6276711356722,-4.026041151273793e-07,0.007493362359081786,0.07506880076273688,0.16237039542922957,1.0,2.075068800762737,0.4605503391342406,0.23227171905243202,0.47793104546183407,0.7082062150289543,0.3957212068160404,0.3180397000072717,0.839246815518207,1.2349680223342474,4.018243038125939,2876.0,0.0063,86000.0,1807.457396546106,535604.7862689517,0.0033746102403918754
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.6267664044398885,0.38188030517013877,0.6500991738474522,1.926964752134793,0.5857058182110966,0.30920894916668157,0.6263369556547226,0.9191898647602709,0.32539092398479724,0.3555642776344183,0.8062047565872096,1.1315956805720069,3.977750297467071,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,0.48861695395439614,13.44585869684719,1.9310607109870323e-06,0.00665377018449731,117.38780052027542,3584.0385821170407,2.6359318345473333e-06,0.006995291107924667,0.08126074284004649,0.39806963139763146,0.7166338465431641,1.5145284359263746,0.937293517982325,0.7522807749594609,0.702233613195323,1.1708803721864856,0.42730346980015244,0.7462029806589119,0.7726989699570518,1.2000024397572042,3.8854112478700644,5854.0,0.0089,173900.0,2869.016148251941,742302.5332187378,0.003865022709556771
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,0.21180153725795317,5.928691368640015,1.6708585969792864e-07,0.004239964854358784,66.23469261903965,1852.5971105106223,-1.0719354416840284e-06,0.007040889503603685,1.0,0.49075525182266294,0.6128611141869335,2.2257222283738667,0.3603831302902935,0.3739786202585397,0.3803248851225104,0.5605164502676572,0.22809586883018557,0.22372352229277437,0.7787914215619858,1.0068872903921713,3.793125969033695,5602.0,0.018,4273800.0,1755.441551907007,380884.3253945528,0.004608857426959142
"Bend, OR",5.613290737251051,210.9090909090909,-7.78101132682706e-07,0.002746667265992039,0.357915205150927,9.791294726119228,-4.553391753205931e-07,0.005922530719961253,130.83570045999733,3436.0191071696063,-1.026708612668989e-06,0.0074984346098859725,0.062474586213006125,0.02269663326369304,0.7210069592460036,1.5044885047050132,0.6648982971015336,0.24049330910729128,0.604714412700419,0.9371635612511858,0.47967416622486464,0.2300964821014688,0.8399245245053856,1.3195986907302502,3.761250756686449,3016.0,0.0097,95000.0,2262.361242532856,679425.1082024724,0.003329816951449283
"Port St. Lucie, FL",10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,0.40685416981161987,11.196813911632333,8.839851554927553e-07,0.006592102021447777,79.8100367444301,2300.7834454351264,-5.090615511821776e-07,0.008696504835704253,0.08188583992663748,0.3601218867848178,0.6476050997179627,1.3770960393625629,0.7668918833424611,0.5277248871651008,0.6940094537397125,1.077455395410943,0.280962876261721,0.30303867127964906,1.0,1.2809628762617211,3.7355143110352267,5854.0,0.0089,173700.0,2400.2609250221826,414400.3714495613,0.005792130245023996
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,99.74562912257596,2732.2541471622444,3.96414848274925e-07,0.006571605763544046,0.4333895675825237,0.18674530708558956,0.633451176678034,1.7002919209385916,0.7248472938901923,0.4430871377062147,0.5640587930810064,0.9264824400261025,0.35859885371265615,0.4306302983544224,0.7160899068985775,1.0746887606112336,3.7014631215759275,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Idaho Falls, ID",6.80290833806242,206.36363636363637,-8.252034049298344e-09,0.0029601754910353025,0.2096774228467868,5.447652138192127,7.826371248210038e-07,0.006269911421389556,89.24007471547318,2109.538859324285,-1.033013789825102e-06,0.008308963420567474,0.06691262775118138,0.37382959767402646,0.7692615753351731,1.6054357784215276,0.3559562682207144,0.5059897822967973,0.6510416282209055,0.8290197623312627,0.31768665157746884,0.22920801298971114,0.9482201669276062,1.265906818505075,3.7003623592578654,3427.0,0.0069,82800.0,1208.5668276972624,390904.31037897646,0.0030917203919434227
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,105.78694482081889,2672.393829195137,-1.1679435388303405e-06,0.0071111475856526826,0.14877157880238714,0.0,0.8559047213821793,1.8605810215667458,0.4119411157377556,0.48001031317133236,0.4543898089443528,0.6603603668132306,0.3821257918856562,0.21019492084651303,0.7881786808803213,1.1703044727659775,3.691245861145954,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.33569431098344243,9.262067932580315,1.1818696280464115e-06,0.006061210427510041,75.8304952634763,2106.696775996819,2.358573568595292e-07,0.008131535775186109,0.3622119281131578,0.4192065806958729,0.5932099753681315,1.5486318788494207,0.6185877815167568,0.5916092094028255,0.6232089481582467,0.932502838916625,0.26546518816597725,0.40800597420746837,0.9245138648359125,1.1899790530018897,3.6711137707679353,5854.0,0.0089,1548500.0,2099.0094408498258,395093.27571237047,0.005312693406551199
"Sebastian, FL",2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,0.4174540840972923,12.741753697716355,4.91891316684014e-07,0.008886546213616486,71.58610335137874,2011.3302355313726,-3.495837880747499e-08,0.007743305576627196,0.052042220902445736,0.383464002807342,0.5324219196196245,1.1168860601416948,0.7889831408780034,0.4436364184673165,1.0,1.3944915704390017,0.24893608240728574,0.36984504547213937,0.8726420026558465,1.1215780850631323,3.6329557156438286,5854.0,0.0089,59000.0,2263.7619047619046,388907.4234202571,0.005820824619013923
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,0.20259439922481012,5.027437416422276,9.615484442174561e-08,0.0034711874934281496,89.62487391208161,2002.5708797868083,-1.1296410547415295e-06,0.00583692830686282,0.48721379087591754,0.5371892298265576,0.8585894239252443,2.2043926387264063,0.341194554611868,0.35876675037587424,0.27779957401378413,0.4483968513197181,0.31918519053153466,0.2155921639649722,0.6179288469881721,0.9371140375197067,3.589903527565831,5602.0,0.018,1352600.0,1752.9620922590632,471345.8765969128,0.0037190568100761543
