msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,75.8304952634763,2106.696775996819,2.358573568595292e-07,0.008131535775186109,0.3622119281131578,0.36749353511361804,0.6404513946512347,0.6404513946512347,0.28525390409724066,0.40800597420746837,0.9178614471864034,0.9178614471864034,1.5583128418376382,5854.0,0.0089,1548500.0,2099.0094408498258,395093.27571237047,0.005312693406551199
"Sebring, FL",0.958817221557989,41.81818181818182,4.313325458364055e-08,0.0017107322854953433,47.72388716541861,1379.5524392812886,3.2399691208244925e-07,0.008841920678572143,0.045110395579903824,0.3550915353853557,0.5579988580321112,0.5579988580321112,0.17874602736168665,0.42042581117647376,1.0,1.0,1.5579988580321111,5854.0,0.0089,28400.0,1524.739138176638,245832.31063113,0.006202354500358989
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,72.71912712852382,2056.491427947149,4.786171826468216e-07,0.007302475912748344,0.3514725242444568,0.36525792453429085,0.7131817791778441,0.7131817791778441,0.2734636086393071,0.4422135153197054,0.822001052389314,0.822001052389314,1.535182831567158,5854.0,0.0089,1482300.0,2023.827542693077,412593.84462681046,0.004905132660240293
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,81.68128003266864,2264.3768835286614,-1.0522865310096005e-06,0.007505253979765725,0.3192016155679832,0.2984638407582435,0.6869585188636051,0.6869585188636051,0.3074250127856084,0.22649227085949603,0.8454473515543951,0.8454473515543951,1.5324058704180001,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"Fayetteville, AR",21.203890578171873,712.7272727272727,-1.3020001946223173e-07,0.0026950190704017013,58.62851134967127,1646.584216570547,1.2877946459563916e-06,0.007082692135465238,0.12063758720751348,0.31040194898532053,0.7304962308178874,0.7304962308178874,0.22006828027857933,0.5562355585201775,0.7965884608324098,0.7965884608324098,1.5270846916502971,6099.0,0.0062,311600.0,1529.0849886735466,336969.44097802025,0.004537755661865152
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.10449715975853271,0.33003997376641375,0.6373461983953973,0.6373461983953973,0.38712036941268496,0.22776514334055745,0.8881833414063524,0.8881833414063524,1.5255295398017497,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Ocala, FL",6.967159203157707,215.45454545454547,1.3842585261138628e-07,0.002044653087485863,55.30266884299504,1485.1952300177709,5.706651300024093e-07,0.008031132005402066,0.06752538950039973,0.3796603137476552,0.616518856415879,0.616518856415879,0.20746525032536997,0.4551840879144568,0.9062522191358332,0.9062522191358332,1.522771075551712,5854.0,0.0089,120900.0,1553.8851471387998,280719.2014823188,0.005535371784094619
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,117.38780052027542,3584.0385821170407,2.6359318345473333e-06,0.006995291107924667,0.08126074284004649,0.35554538409565917,0.7361566397807061,0.7361566397807061,0.44273218572805845,0.7462029806589119,0.7864826803148548,0.7864826803148548,1.522639320095561,5854.0,0.0089,173900.0,2869.016148251941,742302.5332187378,0.003865022709556771
"Logan, UT",4.760450714915713,135.45454545454547,-2.0481840844099754e-07,0.0021287837518457987,93.59462708146312,2324.491484885765,-6.927095022475297e-07,0.007894492011007857,0.059292942429355774,0.29116349082052834,0.6312628505396968,0.6312628505396968,0.3525697451045738,0.27716064629807496,0.8904531623956039,0.8904531623956039,1.5217160129353007,2876.0,0.0063,72500.0,1587.0256410256409,444134.7140729094,0.0035732978998014417
"Punta Gorda, FL",3.0564990323347083,100.0,2.805764866417473e-07,0.0021452834303179328,72.05204465747777,1908.7968982428124,-1.0865286145967729e-07,0.007790440355477359,0.05293610276829127,0.4163102476757386,0.6341544378614994,0.6341544378614994,0.27093574980444707,0.3594606787965796,0.8784221460234984,0.8784221460234984,1.5125765838849978,5854.0,0.0089,56200.0,2233.710472033876,368148.8441547035,0.006067411340547973
